funcid,dim,milestone,error
21,30,1,7.191332e+02
21,30,2,7.135024e+02
21,30,3,7.135024e+02
21,30,5,7.043492e+02
21,30,10,6.357791e+02
21,30,20,6.253738e+02
21,30,30,6.253738e+02
21,30,40,6.253738e+02
21,30,50,6.180104e+02
21,30,60,6.180104e+02
21,30,70,6.155157e+02
21,30,80,6.155157e+02
21,30,90,6.128555e+02
21,30,100,6.128555e+02
21,30,1,7.179180e+02
21,30,2,7.179180e+02
21,30,3,6.491802e+02
21,30,5,6.066871e+02
21,30,10,6.066871e+02
21,30,20,6.066871e+02
21,30,30,6.030133e+02
21,30,40,6.030133e+02
21,30,50,6.030133e+02
21,30,60,6.030133e+02
21,30,70,6.019389e+02
21,30,80,6.019389e+02
21,30,90,5.831703e+02
21,30,100,5.831703e+02
21,30,1,7.247349e+02
21,30,2,6.618238e+02
21,30,3,6.618238e+02
21,30,5,6.324588e+02
21,30,10,6.324588e+02
21,30,20,6.324588e+02
21,30,30,6.171094e+02
21,30,40,6.171094e+02
21,30,50,6.171094e+02
21,30,60,6.171094e+02
21,30,70,6.166594e+02
21,30,80,6.166594e+02
21,30,90,6.166594e+02
21,30,100,6.166594e+02
21,30,1,7.020012e+02
21,30,2,7.020012e+02
21,30,3,6.747004e+02
21,30,5,6.523570e+02
21,30,10,6.523570e+02
21,30,20,6.523570e+02
21,30,30,6.247609e+02
21,30,40,6.247609e+02
21,30,50,6.247609e+02
21,30,60,6.247609e+02
21,30,70,6.247609e+02
21,30,80,6.247609e+02
21,30,90,6.247609e+02
21,30,100,6.247609e+02
21,30,1,7.198408e+02
21,30,2,7.198408e+02
21,30,3,7.198408e+02
21,30,5,7.005101e+02
21,30,10,6.039599e+02
21,30,20,6.039599e+02
21,30,30,6.039599e+02
21,30,40,6.039599e+02
21,30,50,6.039599e+02
21,30,60,6.039599e+02
21,30,70,6.039599e+02
21,30,80,6.039599e+02
21,30,90,6.039599e+02
21,30,100,6.039599e+02
21,30,1,7.035832e+02
21,30,2,7.035832e+02
21,30,3,6.936642e+02
21,30,5,6.570799e+02
21,30,10,6.570799e+02
21,30,20,6.570799e+02
21,30,30,6.535499e+02
21,30,40,6.449836e+02
21,30,50,6.449836e+02
21,30,60,6.449836e+02
21,30,70,6.449836e+02
21,30,80,6.449836e+02
21,30,90,6.449836e+02
21,30,100,6.449836e+02
21,30,1,6.857178e+02
21,30,2,6.407907e+02
21,30,3,6.407907e+02
21,30,5,6.407907e+02
21,30,10,6.407907e+02
21,30,20,6.407907e+02
21,30,30,6.351068e+02
21,30,40,6.351068e+02
21,30,50,6.351068e+02
21,30,60,6.351068e+02
21,30,70,6.307878e+02
21,30,80,6.307878e+02
21,30,90,6.292781e+02
21,30,100,6.292781e+02
21,30,1,7.029482e+02
21,30,2,6.055821e+02
21,30,3,6.055821e+02
21,30,5,6.016792e+02
21,30,10,6.016792e+02
21,30,20,6.016792e+02
21,30,30,5.905257e+02
21,30,40,5.905257e+02
21,30,50,5.905257e+02
21,30,60,5.905257e+02
21,30,70,5.905257e+02
21,30,80,5.905257e+02
21,30,90,5.905257e+02
21,30,100,5.905257e+02
21,30,1,6.912623e+02
21,30,2,6.912623e+02
21,30,3,6.912623e+02
21,30,5,6.912623e+02
21,30,10,6.576749e+02
21,30,20,6.136869e+02
21,30,30,6.136869e+02
21,30,40,6.136869e+02
21,30,50,6.136869e+02
21,30,60,6.136869e+02
21,30,70,5.910303e+02
21,30,80,5.910303e+02
21,30,90,5.910303e+02
21,30,100,5.910303e+02
21,30,1,6.917069e+02
21,30,2,6.625123e+02
21,30,3,6.625123e+02
21,30,5,6.599090e+02
21,30,10,6.599090e+02
21,30,20,6.323376e+02
21,30,30,6.323376e+02
21,30,40,6.323376e+02
21,30,50,6.323376e+02
21,30,60,6.220854e+02
21,30,70,6.220854e+02
21,30,80,6.220854e+02
21,30,90,6.220854e+02
21,30,100,6.220854e+02
