funcid,dim,milestone,error
13,30,1,1.734285e+10
13,30,2,4.031368e+09
13,30,3,3.577812e+09
13,30,5,3.577812e+09
13,30,10,3.577812e+09
13,30,20,2.143205e+09
13,30,30,2.143195e+09
13,30,40,2.143195e+09
13,30,50,2.143195e+09
13,30,60,2.143195e+09
13,30,70,2.143195e+09
13,30,80,2.143195e+09
13,30,90,2.143195e+09
13,30,100,2.143195e+09
13,30,1,8.390374e+09
13,30,2,8.390374e+09
13,30,3,7.820577e+09
13,30,5,6.121099e+09
13,30,10,5.966314e+09
13,30,20,3.768905e+09
13,30,30,3.768905e+09
13,30,40,3.768905e+09
13,30,50,3.768905e+09
13,30,60,3.612653e+09
13,30,70,3.612653e+09
13,30,80,3.612653e+09
13,30,90,3.612653e+09
13,30,100,3.612653e+09
13,30,1,1.008790e+10
13,30,2,1.008790e+10
13,30,3,5.963171e+09
13,30,5,5.963171e+09
13,30,10,5.963171e+09
13,30,20,5.958740e+09
13,30,30,5.958740e+09
13,30,40,5.958739e+09
13,30,50,5.724810e+09
13,30,60,5.724810e+09
13,30,70,5.724810e+09
13,30,80,5.724810e+09
13,30,90,5.724810e+09
13,30,100,5.548787e+09
13,30,1,1.059775e+10
13,30,2,1.059775e+10
13,30,3,9.545490e+09
13,30,5,9.545490e+09
13,30,10,4.928536e+09
13,30,20,4.928536e+09
13,30,30,4.928536e+09
13,30,40,4.928536e+09
13,30,50,4.928536e+09
13,30,60,4.928536e+09
13,30,70,4.928536e+09
13,30,80,4.928536e+09
13,30,90,4.928536e+09
13,30,100,4.928536e+09
13,30,1,9.105396e+09
13,30,2,9.105396e+09
13,30,3,9.105396e+09
13,30,5,8.234090e+09
13,30,10,7.497254e+09
13,30,20,5.280018e+09
13,30,30,5.280017e+09
13,30,40,5.280017e+09
13,30,50,5.280017e+09
13,30,60,5.280017e+09
13,30,70,5.280017e+09
13,30,80,5.280017e+09
13,30,90,5.280017e+09
13,30,100,5.280017e+09
13,30,1,6.155754e+09
13,30,2,6.155754e+09
13,30,3,6.155754e+09
13,30,5,6.155754e+09
13,30,10,6.155754e+09
13,30,20,3.829958e+09
13,30,30,3.818757e+09
13,30,40,3.818757e+09
13,30,50,3.818757e+09
13,30,60,3.760309e+09
13,30,70,3.760309e+09
13,30,80,3.760309e+09
13,30,90,3.760309e+09
13,30,100,3.760309e+09
13,30,1,1.347188e+10
13,30,2,1.258522e+10
13,30,3,3.111124e+09
13,30,5,3.111124e+09
13,30,10,3.111124e+09
13,30,20,3.111124e+09
13,30,30,3.111124e+09
13,30,40,3.093740e+09
13,30,50,3.093740e+09
13,30,60,3.093740e+09
13,30,70,3.093740e+09
13,30,80,3.093740e+09
13,30,90,3.093740e+09
13,30,100,3.093740e+09
13,30,1,1.141378e+10
13,30,2,8.212882e+09
13,30,3,4.993307e+09
13,30,5,4.993307e+09
13,30,10,4.993307e+09
13,30,20,4.993307e+09
13,30,30,4.542916e+09
13,30,40,4.542916e+09
13,30,50,4.542916e+09
13,30,60,4.542916e+09
13,30,70,4.542916e+09
13,30,80,4.542916e+09
13,30,90,4.542916e+09
13,30,100,4.542916e+09
13,30,1,3.765704e+09
13,30,2,3.765704e+09
13,30,3,3.765704e+09
13,30,5,3.765704e+09
13,30,10,3.765704e+09
13,30,20,2.951222e+09
13,30,30,2.951222e+09
13,30,40,2.951222e+09
13,30,50,2.951222e+09
13,30,60,2.951222e+09
13,30,70,2.951222e+09
13,30,80,2.951222e+09
13,30,90,2.951222e+09
13,30,100,2.951222e+09
13,30,1,8.439614e+09
13,30,2,8.139817e+09
13,30,3,8.139817e+09
13,30,5,6.626309e+09
13,30,10,6.626309e+09
13,30,20,4.926505e+09
13,30,30,4.926505e+09
13,30,40,4.926505e+09
13,30,50,4.926505e+09
13,30,60,4.926505e+09
13,30,70,4.926505e+09
13,30,80,4.926505e+09
13,30,90,4.926505e+09
13,30,100,4.926505e+09
