funcid,dim,milestone,error
6,10,1,9.372880e+01
6,10,2,7.693963e+01
6,10,3,7.693963e+01
6,10,5,7.660270e+01
6,10,10,6.708288e+01
6,10,20,5.248066e+01
6,10,30,4.769865e+01
6,10,40,4.368135e+01
6,10,50,3.903526e+01
6,10,60,3.903526e+01
6,10,70,3.903526e+01
6,10,80,3.903526e+01
6,10,90,3.903526e+01
6,10,100,3.903526e+01
6,10,1,7.378299e+01
6,10,2,6.654875e+01
6,10,3,6.119302e+01
6,10,5,5.925096e+01
6,10,10,5.672230e+01
6,10,20,5.672230e+01
6,10,30,5.264388e+01
6,10,40,5.264388e+01
6,10,50,5.264388e+01
6,10,60,5.264388e+01
6,10,70,4.747918e+01
6,10,80,4.747918e+01
6,10,90,4.747918e+01
6,10,100,4.747918e+01
6,10,1,7.301417e+01
6,10,2,7.227795e+01
6,10,3,7.227795e+01
6,10,5,4.637749e+01
6,10,10,4.637749e+01
6,10,20,4.637749e+01
6,10,30,4.637360e+01
6,10,40,3.755867e+01
6,10,50,3.660591e+01
6,10,60,3.660591e+01
6,10,70,3.660591e+01
6,10,80,3.660591e+01
6,10,90,3.159622e+01
6,10,100,3.159622e+01
6,10,1,7.387460e+01
6,10,2,7.387460e+01
6,10,3,7.387460e+01
6,10,5,4.340224e+01
6,10,10,4.340224e+01
6,10,20,4.340224e+01
6,10,30,4.340224e+01
6,10,40,4.340224e+01
6,10,50,4.340224e+01
6,10,60,4.340224e+01
6,10,70,4.340224e+01
6,10,80,4.340224e+01
6,10,90,4.340224e+01
6,10,100,4.340224e+01
6,10,1,5.759604e+01
6,10,2,5.759604e+01
6,10,3,5.759604e+01
6,10,5,5.581545e+01
6,10,10,5.186501e+01
6,10,20,4.840287e+01
6,10,30,4.840287e+01
6,10,40,4.840287e+01
6,10,50,4.840287e+01
6,10,60,4.840287e+01
6,10,70,4.840287e+01
6,10,80,4.840287e+01
6,10,90,4.427599e+01
6,10,100,4.427599e+01
6,10,1,7.415449e+01
6,10,2,7.415449e+01
6,10,3,5.286127e+01
6,10,5,5.286127e+01
6,10,10,5.286127e+01
6,10,20,4.631640e+01
6,10,30,4.631640e+01
6,10,40,4.631640e+01
6,10,50,4.631640e+01
6,10,60,4.159876e+01
6,10,70,4.032725e+01
6,10,80,4.032725e+01
6,10,90,4.032725e+01
6,10,100,4.032725e+01
6,10,1,9.037814e+01
6,10,2,7.288985e+01
6,10,3,7.288985e+01
6,10,5,5.129778e+01
6,10,10,5.129778e+01
6,10,20,5.129778e+01
6,10,30,5.129778e+01
6,10,40,5.129778e+01
6,10,50,5.129778e+01
6,10,60,4.108365e+01
6,10,70,4.108365e+01
6,10,80,4.108365e+01
6,10,90,4.108365e+01
6,10,100,4.108365e+01
6,10,1,7.469743e+01
6,10,2,7.016279e+01
6,10,3,7.016279e+01
6,10,5,7.016279e+01
6,10,10,5.602062e+01
6,10,20,3.931424e+01
6,10,30,3.931424e+01
6,10,40,3.931424e+01
6,10,50,3.931424e+01
6,10,60,3.931424e+01
6,10,70,3.516845e+01
6,10,80,3.516845e+01
6,10,90,3.516845e+01
6,10,100,3.516845e+01
6,10,1,7.536552e+01
6,10,2,7.536552e+01
6,10,3,7.536552e+01
6,10,5,7.536552e+01
6,10,10,6.596712e+01
6,10,20,4.551272e+01
6,10,30,4.551272e+01
6,10,40,4.551272e+01
6,10,50,4.551272e+01
6,10,60,4.551272e+01
6,10,70,4.551272e+01
6,10,80,4.551272e+01
6,10,90,4.551272e+01
6,10,100,4.551272e+01
6,10,1,8.025678e+01
6,10,2,6.490514e+01
6,10,3,6.490514e+01
6,10,5,6.490514e+01
6,10,10,6.490514e+01
6,10,20,5.852848e+01
6,10,30,4.778435e+01
6,10,40,4.778435e+01
6,10,50,4.437448e+01
6,10,60,4.437448e+01
6,10,70,4.437448e+01
6,10,80,4.437448e+01
6,10,90,4.437448e+01
6,10,100,3.993824e+01
