funcid,dim,milestone,error
5,10,1,1.131490e+02
5,10,2,1.083921e+02
5,10,3,1.083921e+02
5,10,5,1.025951e+02
5,10,10,9.237910e+01
5,10,20,9.237910e+01
5,10,30,9.007945e+01
5,10,40,8.620609e+01
5,10,50,7.584288e+01
5,10,60,7.584288e+01
5,10,70,7.584288e+01
5,10,80,7.584288e+01
5,10,90,7.584288e+01
5,10,100,7.584288e+01
5,10,1,8.551022e+01
5,10,2,8.551022e+01
5,10,3,8.551022e+01
5,10,5,8.551022e+01
5,10,10,7.817130e+01
5,10,20,7.817130e+01
5,10,30,7.817130e+01
5,10,40,7.817130e+01
5,10,50,7.817130e+01
5,10,60,7.817130e+01
5,10,70,7.817130e+01
5,10,80,7.324009e+01
5,10,90,7.324009e+01
5,10,100,7.324009e+01
5,10,1,1.028377e+02
5,10,2,1.028377e+02
5,10,3,1.028377e+02
5,10,5,1.028377e+02
5,10,10,1.028377e+02
5,10,20,8.648335e+01
5,10,30,8.648335e+01
5,10,40,8.648335e+01
5,10,50,8.077959e+01
5,10,60,8.077959e+01
5,10,70,8.077959e+01
5,10,80,8.077959e+01
5,10,90,8.077959e+01
5,10,100,8.077959e+01
5,10,1,1.016419e+02
5,10,2,1.016419e+02
5,10,3,1.016419e+02
5,10,5,1.016419e+02
5,10,10,1.016419e+02
5,10,20,9.201987e+01
5,10,30,8.660130e+01
5,10,40,8.660130e+01
5,10,50,8.093149e+01
5,10,60,6.497467e+01
5,10,70,6.497467e+01
5,10,80,6.329728e+01
5,10,90,6.329728e+01
5,10,100,5.825662e+01
5,10,1,9.287310e+01
5,10,2,8.177140e+01
5,10,3,8.177140e+01
5,10,5,8.177140e+01
5,10,10,8.177140e+01
5,10,20,8.177140e+01
5,10,30,8.177140e+01
5,10,40,7.654947e+01
5,10,50,6.403173e+01
5,10,60,6.403173e+01
5,10,70,6.403173e+01
5,10,80,6.403173e+01
5,10,90,6.403173e+01
5,10,100,6.403173e+01
5,10,1,1.147509e+02
5,10,2,9.541407e+01
5,10,3,9.541407e+01
5,10,5,9.541407e+01
5,10,10,8.128131e+01
5,10,20,8.128131e+01
5,10,30,8.128131e+01
5,10,40,8.128131e+01
5,10,50,8.128131e+01
5,10,60,8.128131e+01
5,10,70,8.128131e+01
5,10,80,8.128131e+01
5,10,90,8.128131e+01
5,10,100,8.128131e+01
5,10,1,1.083824e+02
5,10,2,1.083824e+02
5,10,3,1.083824e+02
5,10,5,9.683480e+01
5,10,10,9.683480e+01
5,10,20,9.683480e+01
5,10,30,9.683480e+01
5,10,40,9.683480e+01
5,10,50,9.200016e+01
5,10,60,9.200016e+01
5,10,70,8.977414e+01
5,10,80,8.977414e+01
5,10,90,8.977414e+01
5,10,100,8.977414e+01
5,10,1,1.128720e+02
5,10,2,1.128720e+02
5,10,3,1.128720e+02
5,10,5,1.128720e+02
5,10,10,9.165516e+01
5,10,20,6.699170e+01
5,10,30,6.699170e+01
5,10,40,6.699170e+01
5,10,50,6.699170e+01
5,10,60,6.699170e+01
5,10,70,6.699170e+01
5,10,80,6.699170e+01
5,10,90,6.699170e+01
5,10,100,6.699170e+01
5,10,1,8.334086e+01
5,10,2,8.334086e+01
5,10,3,8.334086e+01
5,10,5,8.334086e+01
5,10,10,8.334086e+01
5,10,20,8.334086e+01
5,10,30,7.822433e+01
5,10,40,7.822433e+01
5,10,50,7.822433e+01
5,10,60,7.822433e+01
5,10,70,7.822433e+01
5,10,80,7.822433e+01
5,10,90,7.822433e+01
5,10,100,6.651181e+01
5,10,1,1.112942e+02
5,10,2,1.112942e+02
5,10,3,1.112942e+02
5,10,5,1.112942e+02
5,10,10,9.181025e+01
5,10,20,8.679064e+01
5,10,30,8.679064e+01
5,10,40,8.679064e+01
5,10,50,7.712587e+01
5,10,60,7.712587e+01
5,10,70,7.712587e+01
5,10,80,7.712587e+01
5,10,90,7.712587e+01
5,10,100,7.712587e+01
