funcid,dim,milestone,error
7,30,1,2.112354e+03
7,30,2,2.032666e+03
7,30,3,2.032666e+03
7,30,5,2.032666e+03
7,30,10,1.852929e+03
7,30,20,1.843057e+03
7,30,30,1.826904e+03
7,30,40,1.826397e+03
7,30,50,1.826397e+03
7,30,60,1.826397e+03
7,30,70,1.826397e+03
7,30,80,1.790758e+03
7,30,90,1.790758e+03
7,30,100,1.790758e+03
7,30,1,2.303290e+03
7,30,2,1.877844e+03
7,30,3,1.877844e+03
7,30,5,1.877844e+03
7,30,10,1.877844e+03
7,30,20,1.877844e+03
7,30,30,1.828209e+03
7,30,40,1.828209e+03
7,30,50,1.828209e+03
7,30,60,1.828209e+03
7,30,70,1.828209e+03
7,30,80,1.828209e+03
7,30,90,1.828209e+03
7,30,100,1.828209e+03
7,30,1,2.236991e+03
7,30,2,2.166921e+03
7,30,3,2.140440e+03
7,30,5,1.810355e+03
7,30,10,1.810355e+03
7,30,20,1.810355e+03
7,30,30,1.800299e+03
7,30,40,1.800299e+03
7,30,50,1.772279e+03
7,30,60,1.772279e+03
7,30,70,1.772279e+03
7,30,80,1.772279e+03
7,30,90,1.772279e+03
7,30,100,1.772279e+03
7,30,1,2.324034e+03
7,30,2,2.059015e+03
7,30,3,2.043798e+03
7,30,5,2.043798e+03
7,30,10,1.838678e+03
7,30,20,1.838678e+03
7,30,30,1.838678e+03
7,30,40,1.838678e+03
7,30,50,1.838678e+03
7,30,60,1.838678e+03
7,30,70,1.838678e+03
7,30,80,1.838678e+03
7,30,90,1.838678e+03
7,30,100,1.834576e+03
7,30,1,2.070565e+03
7,30,2,2.070565e+03
7,30,3,2.064722e+03
7,30,5,1.788170e+03
7,30,10,1.788170e+03
7,30,20,1.725736e+03
7,30,30,1.725736e+03
7,30,40,1.716760e+03
7,30,50,1.714620e+03
7,30,60,1.710155e+03
7,30,70,1.710155e+03
7,30,80,1.710155e+03
7,30,90,1.710155e+03
7,30,100,1.695946e+03
7,30,1,2.080423e+03
7,30,2,2.080423e+03
7,30,3,2.080423e+03
7,30,5,2.080423e+03
7,30,10,1.759115e+03
7,30,20,1.759115e+03
7,30,30,1.759115e+03
7,30,40,1.759115e+03
7,30,50,1.759115e+03
7,30,60,1.759115e+03
7,30,70,1.756662e+03
7,30,80,1.756662e+03
7,30,90,1.756662e+03
7,30,100,1.756662e+03
7,30,1,2.000058e+03
7,30,2,2.000058e+03
7,30,3,1.723226e+03
7,30,5,1.723226e+03
7,30,10,1.723226e+03
7,30,20,1.723226e+03
7,30,30,1.660075e+03
7,30,40,1.660075e+03
7,30,50,1.660075e+03
7,30,60,1.660075e+03
7,30,70,1.660075e+03
7,30,80,1.660075e+03
7,30,90,1.660075e+03
7,30,100,1.660075e+03
7,30,1,2.241404e+03
7,30,2,2.166614e+03
7,30,3,2.166614e+03
7,30,5,2.082377e+03
7,30,10,1.916940e+03
7,30,20,1.636496e+03
7,30,30,1.636496e+03
7,30,40,1.636496e+03
7,30,50,1.624735e+03
7,30,60,1.619757e+03
7,30,70,1.619757e+03
7,30,80,1.619757e+03
7,30,90,1.619757e+03
7,30,100,1.619757e+03
7,30,1,2.262269e+03
7,30,2,2.006818e+03
7,30,3,2.006818e+03
7,30,5,2.006818e+03
7,30,10,1.937153e+03
7,30,20,1.850878e+03
7,30,30,1.850878e+03
7,30,40,1.850878e+03
7,30,50,1.813759e+03
7,30,60,1.813759e+03
7,30,70,1.813759e+03
7,30,80,1.813759e+03
7,30,90,1.813759e+03
7,30,100,1.813759e+03
7,30,1,2.274857e+03
7,30,2,2.266528e+03
7,30,3,2.022547e+03
7,30,5,2.022547e+03
7,30,10,1.948971e+03
7,30,20,1.871315e+03
7,30,30,1.826901e+03
7,30,40,1.826901e+03
7,30,50,1.826901e+03
7,30,60,1.826901e+03
7,30,70,1.826901e+03
7,30,80,1.826901e+03
7,30,90,1.826901e+03
7,30,100,1.826901e+03
