funcid,dim,milestone,error
10,10,1,2.043916e+03
10,10,2,2.043916e+03
10,10,3,2.043916e+03
10,10,5,2.043916e+03
10,10,10,1.844678e+03
10,10,20,1.844678e+03
10,10,30,1.461106e+03
10,10,40,1.461106e+03
10,10,50,1.461106e+03
10,10,60,1.461106e+03
10,10,70,1.461106e+03
10,10,80,1.457194e+03
10,10,90,1.457194e+03
10,10,100,1.457194e+03
10,10,1,2.183008e+03
10,10,2,1.683207e+03
10,10,3,1.683207e+03
10,10,5,1.683207e+03
10,10,10,1.683207e+03
10,10,20,1.544660e+03
10,10,30,1.544660e+03
10,10,40,1.544660e+03
10,10,50,1.544660e+03
10,10,60,1.544660e+03
10,10,70,1.347916e+03
10,10,80,1.347916e+03
10,10,90,1.347916e+03
10,10,100,1.347916e+03
10,10,1,1.984132e+03
10,10,2,1.984132e+03
10,10,3,1.984132e+03
10,10,5,1.984132e+03
10,10,10,1.705232e+03
10,10,20,1.705232e+03
10,10,30,1.705232e+03
10,10,40,1.705232e+03
10,10,50,1.194011e+03
10,10,60,1.194011e+03
10,10,70,1.194011e+03
10,10,80,1.194011e+03
10,10,90,1.194011e+03
10,10,100,1.194011e+03
10,10,1,1.791264e+03
10,10,2,1.791264e+03
10,10,3,1.791264e+03
10,10,5,1.791264e+03
10,10,10,1.654405e+03
10,10,20,1.654405e+03
10,10,30,1.654405e+03
10,10,40,1.654405e+03
10,10,50,1.561809e+03
10,10,60,1.381796e+03
10,10,70,1.381796e+03
10,10,80,1.381796e+03
10,10,90,1.381796e+03
10,10,100,1.381796e+03
10,10,1,2.162823e+03
10,10,2,2.162823e+03
10,10,3,2.162823e+03
10,10,5,2.162823e+03
10,10,10,1.906310e+03
10,10,20,1.871659e+03
10,10,30,1.686721e+03
10,10,40,1.686721e+03
10,10,50,1.686721e+03
10,10,60,1.285271e+03
10,10,70,1.285271e+03
10,10,80,1.285271e+03
10,10,90,1.285271e+03
10,10,100,1.285271e+03
10,10,1,1.861791e+03
10,10,2,1.861791e+03
10,10,3,1.861791e+03
10,10,5,1.836522e+03
10,10,10,1.836522e+03
10,10,20,1.796759e+03
10,10,30,1.796759e+03
10,10,40,1.796759e+03
10,10,50,1.796759e+03
10,10,60,1.539389e+03
10,10,70,1.539389e+03
10,10,80,1.539389e+03
10,10,90,1.539389e+03
10,10,100,1.530020e+03
10,10,1,2.209971e+03
10,10,2,2.209971e+03
10,10,3,1.866034e+03
10,10,5,1.866034e+03
10,10,10,1.866034e+03
10,10,20,1.866034e+03
10,10,30,1.781178e+03
10,10,40,1.781178e+03
10,10,50,1.781178e+03
10,10,60,1.781178e+03
10,10,70,1.651036e+03
10,10,80,1.651036e+03
10,10,90,1.651036e+03
10,10,100,1.651036e+03
10,10,1,1.617214e+03
10,10,2,1.617214e+03
10,10,3,1.617214e+03
10,10,5,1.617214e+03
10,10,10,1.617214e+03
10,10,20,1.617214e+03
10,10,30,1.617214e+03
10,10,40,1.617214e+03
10,10,50,1.617214e+03
10,10,60,1.341056e+03
10,10,70,1.341056e+03
10,10,80,1.341056e+03
10,10,90,1.341056e+03
10,10,100,1.341056e+03
10,10,1,2.245546e+03
10,10,2,2.163418e+03
10,10,3,2.045674e+03
10,10,5,1.681954e+03
10,10,10,1.681954e+03
10,10,20,1.681954e+03
10,10,30,1.681954e+03
10,10,40,1.553529e+03
10,10,50,1.553529e+03
10,10,60,1.553529e+03
10,10,70,1.553529e+03
10,10,80,1.553529e+03
10,10,90,1.441352e+03
10,10,100,1.441352e+03
10,10,1,2.251257e+03
10,10,2,2.251257e+03
10,10,3,2.251257e+03
10,10,5,2.013348e+03
10,10,10,1.877495e+03
10,10,20,1.546904e+03
10,10,30,1.546904e+03
10,10,40,1.546904e+03
10,10,50,1.546904e+03
10,10,60,1.546904e+03
10,10,70,1.546904e+03
10,10,80,1.546904e+03
10,10,90,1.546904e+03
10,10,100,1.546904e+03
