funcid,dim,milestone,error
30,30,1,1.960976e+09
30,30,2,1.647152e+09
30,30,3,8.783515e+08
30,30,5,5.411697e+08
30,30,10,5.411697e+08
30,30,20,5.411697e+08
30,30,30,5.346274e+08
30,30,40,5.346274e+08
30,30,50,5.341900e+08
30,30,60,5.341900e+08
30,30,70,5.341900e+08
30,30,80,5.341900e+08
30,30,90,5.341900e+08
30,30,100,5.341900e+08
30,30,1,1.139409e+09
30,30,2,1.139409e+09
30,30,3,1.139409e+09
30,30,5,1.139409e+09
30,30,10,9.093036e+08
30,30,20,6.232871e+08
30,30,30,6.224325e+08
30,30,40,6.224325e+08
30,30,50,5.981941e+08
30,30,60,5.981941e+08
30,30,70,5.981941e+08
30,30,80,5.981941e+08
30,30,90,5.981941e+08
30,30,100,5.981941e+08
30,30,1,1.131254e+09
30,30,2,1.131254e+09
30,30,3,1.131254e+09
30,30,5,1.131254e+09
30,30,10,4.935945e+08
30,30,20,4.935945e+08
30,30,30,4.917897e+08
30,30,40,4.579043e+08
30,30,50,4.579043e+08
30,30,60,4.579043e+08
30,30,70,4.579043e+08
30,30,80,4.579043e+08
30,30,90,4.055801e+08
30,30,100,4.055801e+08
30,30,1,2.347310e+09
30,30,2,7.089944e+08
30,30,3,7.089944e+08
30,30,5,7.089944e+08
30,30,10,7.089944e+08
30,30,20,7.089944e+08
30,30,30,7.089944e+08
30,30,40,7.029241e+08
30,30,50,7.029241e+08
30,30,60,7.029241e+08
30,30,70,7.029241e+08
30,30,80,7.029241e+08
30,30,90,7.029241e+08
30,30,100,7.029241e+08
30,30,1,1.373746e+09
30,30,2,1.373746e+09
30,30,3,1.373746e+09
30,30,5,1.208255e+09
30,30,10,4.619470e+08
30,30,20,4.619470e+08
30,30,30,4.619470e+08
30,30,40,4.619470e+08
30,30,50,4.619470e+08
30,30,60,4.619470e+08
30,30,70,4.619470e+08
30,30,80,4.619470e+08
30,30,90,4.619470e+08
30,30,100,4.619470e+08
30,30,1,3.425350e+08
30,30,2,3.425350e+08
30,30,3,3.425350e+08
30,30,5,3.425350e+08
30,30,10,3.425350e+08
30,30,20,2.932113e+08
30,30,30,2.932113e+08
30,30,40,2.932113e+08
30,30,50,2.932113e+08
30,30,60,2.932113e+08
30,30,70,2.932113e+08
30,30,80,2.932113e+08
30,30,90,2.932113e+08
30,30,100,2.932113e+08
30,30,1,1.019101e+09
30,30,2,1.019101e+09
30,30,3,1.019101e+09
30,30,5,1.019101e+09
30,30,10,9.421405e+08
30,30,20,7.539528e+08
30,30,30,7.539528e+08
30,30,40,7.518835e+08
30,30,50,7.518835e+08
30,30,60,7.518835e+08
30,30,70,7.518835e+08
30,30,80,3.181747e+08
30,30,90,3.181747e+08
30,30,100,3.181747e+08
30,30,1,2.174895e+09
30,30,2,1.516702e+09
30,30,3,1.516702e+09
30,30,5,1.065766e+09
30,30,10,1.065766e+09
30,30,20,9.786051e+08
30,30,30,9.786051e+08
30,30,40,9.786051e+08
30,30,50,9.154402e+08
30,30,60,9.154402e+08
30,30,70,9.154402e+08
30,30,80,9.154402e+08
30,30,90,9.154402e+08
30,30,100,9.154402e+08
30,30,1,1.749457e+09
30,30,2,1.749457e+09
30,30,3,1.749457e+09
30,30,5,1.421784e+09
30,30,10,1.089309e+09
30,30,20,9.149452e+08
30,30,30,9.149452e+08
30,30,40,9.087788e+08
30,30,50,9.087788e+08
30,30,60,9.087788e+08
30,30,70,8.956872e+08
30,30,80,8.956872e+08
30,30,90,8.956872e+08
30,30,100,8.956872e+08
30,30,1,1.131703e+09
30,30,2,1.131703e+09
30,30,3,1.131703e+09
30,30,5,6.867366e+08
30,30,10,6.867366e+08
30,30,20,6.867366e+08
30,30,30,6.867366e+08
30,30,40,6.492416e+08
30,30,50,6.492416e+08
30,30,60,6.492416e+08
30,30,70,6.492416e+08
30,30,80,6.492416e+08
30,30,90,6.492416e+08
30,30,100,6.492416e+08
