funcid,dim,milestone,error
14,10,1,3.611691e+05
14,10,2,1.359459e+04
14,10,3,1.187895e+04
14,10,5,6.678847e+03
14,10,10,1.633092e+03
14,10,20,4.676135e+02
14,10,30,4.676135e+02
14,10,40,4.645682e+02
14,10,50,4.645682e+02
14,10,60,4.645682e+02
14,10,70,4.600778e+02
14,10,80,4.600778e+02
14,10,90,4.020426e+02
14,10,100,4.020426e+02
14,10,1,2.720770e+03
14,10,2,2.720770e+03
14,10,3,2.720770e+03
14,10,5,2.720770e+03
14,10,10,2.720770e+03
14,10,20,4.354390e+02
14,10,30,4.354390e+02
14,10,40,4.354390e+02
14,10,50,4.354390e+02
14,10,60,4.354390e+02
14,10,70,4.354390e+02
14,10,80,4.354390e+02
14,10,90,4.354390e+02
14,10,100,4.354390e+02
14,10,1,4.394732e+03
14,10,2,4.394732e+03
14,10,3,4.394732e+03
14,10,5,4.394732e+03
14,10,10,4.380619e+03
14,10,20,4.380619e+03
14,10,30,4.380619e+03
14,10,40,8.152687e+02
14,10,50,8.152687e+02
14,10,60,8.152687e+02
14,10,70,8.152687e+02
14,10,80,4.016789e+02
14,10,90,4.016789e+02
14,10,100,4.016789e+02
14,10,1,6.799094e+04
14,10,2,6.799094e+04
14,10,3,6.799094e+04
14,10,5,3.620777e+03
14,10,10,3.620777e+03
14,10,20,4.492379e+02
14,10,30,4.492379e+02
14,10,40,4.492379e+02
14,10,50,4.492379e+02
14,10,60,4.486813e+02
14,10,70,4.486544e+02
14,10,80,4.486544e+02
14,10,90,4.486544e+02
14,10,100,4.486544e+02
14,10,1,2.647879e+04
14,10,2,2.647879e+04
14,10,3,2.638376e+03
14,10,5,2.638376e+03
14,10,10,8.476411e+02
14,10,20,8.476411e+02
14,10,30,4.792781e+02
14,10,40,4.792781e+02
14,10,50,4.792781e+02
14,10,60,4.792781e+02
14,10,70,4.792781e+02
14,10,80,4.637858e+02
14,10,90,4.637858e+02
14,10,100,4.637858e+02
14,10,1,2.384956e+05
14,10,2,4.199547e+03
14,10,3,4.199547e+03
14,10,5,4.199547e+03
14,10,10,5.059481e+02
14,10,20,5.059481e+02
14,10,30,5.059481e+02
14,10,40,5.059481e+02
14,10,50,5.059481e+02
14,10,60,4.547084e+02
14,10,70,4.547084e+02
14,10,80,4.547084e+02
14,10,90,4.547084e+02
14,10,100,4.499258e+02
14,10,1,2.551164e+04
14,10,2,2.551164e+04
14,10,3,2.551164e+04
14,10,5,9.829450e+03
14,10,10,4.107628e+02
14,10,20,4.107628e+02
14,10,30,4.107628e+02
14,10,40,4.107628e+02
14,10,50,4.107628e+02
14,10,60,4.107628e+02
14,10,70,4.106126e+02
14,10,80,4.106126e+02
14,10,90,4.106126e+02
14,10,100,4.106126e+02
14,10,1,3.094210e+04
14,10,2,3.094210e+04
14,10,3,3.094210e+04
14,10,5,3.094210e+04
14,10,10,2.778893e+03
14,10,20,4.905406e+02
14,10,30,4.905406e+02
14,10,40,4.905406e+02
14,10,50,4.905406e+02
14,10,60,4.905406e+02
14,10,70,4.848802e+02
14,10,80,4.848802e+02
14,10,90,4.848802e+02
14,10,100,4.848802e+02
14,10,1,2.440328e+04
14,10,2,4.246159e+03
14,10,3,4.246159e+03
14,10,5,4.246159e+03
14,10,10,4.157909e+03
14,10,20,4.157909e+03
14,10,30,4.157909e+03
14,10,40,4.157909e+03
14,10,50,4.137923e+03
14,10,60,4.137923e+03
14,10,70,4.137923e+03
14,10,80,2.779439e+03
14,10,90,2.747369e+03
14,10,100,4.668508e+02
14,10,1,1.048005e+05
14,10,2,3.229615e+04
14,10,3,3.229615e+04
14,10,5,3.229615e+04
14,10,10,4.787075e+02
14,10,20,4.787075e+02
14,10,30,4.787075e+02
14,10,40,4.381057e+02
14,10,50,4.381057e+02
14,10,60,4.381057e+02
14,10,70,4.381057e+02
14,10,80,4.381057e+02
14,10,90,4.381057e+02
14,10,100,4.381057e+02
