funcid,dim,milestone,error
25,30,1,8.956897e+03
25,30,2,8.956897e+03
25,30,3,8.956897e+03
25,30,5,8.956897e+03
25,30,10,8.956897e+03
25,30,20,6.745541e+03
25,30,30,6.745541e+03
25,30,40,6.745541e+03
25,30,50,6.629291e+03
25,30,60,6.629291e+03
25,30,70,6.629291e+03
25,30,80,6.629291e+03
25,30,90,4.541708e+03
25,30,100,4.541708e+03
25,30,1,6.558055e+03
25,30,2,6.558055e+03
25,30,3,6.558055e+03
25,30,5,6.558055e+03
25,30,10,6.558055e+03
25,30,20,6.376692e+03
25,30,30,6.340117e+03
25,30,40,6.340117e+03
25,30,50,6.072874e+03
25,30,60,6.072874e+03
25,30,70,6.072874e+03
25,30,80,6.072874e+03
25,30,90,6.072874e+03
25,30,100,5.343701e+03
25,30,1,1.069948e+04
25,30,2,8.404172e+03
25,30,3,8.404172e+03
25,30,5,8.404172e+03
25,30,10,7.926641e+03
25,30,20,7.926641e+03
25,30,30,7.926641e+03
25,30,40,7.926641e+03
25,30,50,7.926641e+03
25,30,60,7.813702e+03
25,30,70,7.813702e+03
25,30,80,7.813702e+03
25,30,90,5.865991e+03
25,30,100,5.865991e+03
25,30,1,7.761885e+03
25,30,2,7.761885e+03
25,30,3,7.200017e+03
25,30,5,7.200017e+03
25,30,10,7.200017e+03
25,30,20,7.200017e+03
25,30,30,7.200017e+03
25,30,40,7.200017e+03
25,30,50,7.200017e+03
25,30,60,7.200017e+03
25,30,70,7.200017e+03
25,30,80,4.364007e+03
25,30,90,4.364007e+03
25,30,100,4.364007e+03
25,30,1,8.821977e+03
25,30,2,8.821977e+03
25,30,3,8.821977e+03
25,30,5,8.149442e+03
25,30,10,7.050205e+03
25,30,20,4.737587e+03
25,30,30,4.737587e+03
25,30,40,4.737587e+03
25,30,50,4.737587e+03
25,30,60,4.737587e+03
25,30,70,4.737587e+03
25,30,80,4.737587e+03
25,30,90,4.737587e+03
25,30,100,4.737587e+03
25,30,1,6.251383e+03
25,30,2,6.251383e+03
25,30,3,6.251383e+03
25,30,5,6.251383e+03
25,30,10,6.251383e+03
25,30,20,6.251383e+03
25,30,30,6.251383e+03
25,30,40,6.251383e+03
25,30,50,6.091966e+03
25,30,60,6.091966e+03
25,30,70,6.091966e+03
25,30,80,6.091966e+03
25,30,90,6.091966e+03
25,30,100,6.091966e+03
25,30,1,9.216445e+03
25,30,2,6.009703e+03
25,30,3,6.009703e+03
25,30,5,6.009703e+03
25,30,10,6.009703e+03
25,30,20,5.090736e+03
25,30,30,5.090736e+03
25,30,40,5.090736e+03
25,30,50,5.090736e+03
25,30,60,5.090736e+03
25,30,70,5.090736e+03
25,30,80,5.090736e+03
25,30,90,5.090736e+03
25,30,100,5.090736e+03
25,30,1,6.380520e+03
25,30,2,6.309763e+03
25,30,3,6.309763e+03
25,30,5,6.261162e+03
25,30,10,4.666975e+03
25,30,20,4.666975e+03
25,30,30,4.666975e+03
25,30,40,4.647655e+03
25,30,50,4.623330e+03
25,30,60,4.623330e+03
25,30,70,4.609614e+03
25,30,80,4.609614e+03
25,30,90,4.609614e+03
25,30,100,4.609614e+03
25,30,1,1.164011e+04
25,30,2,9.302901e+03
25,30,3,8.840670e+03
25,30,5,7.301534e+03
25,30,10,6.792160e+03
25,30,20,6.792160e+03
25,30,30,6.789824e+03
25,30,40,6.789824e+03
25,30,50,6.789824e+03
25,30,60,6.775914e+03
25,30,70,6.775914e+03
25,30,80,6.775914e+03
25,30,90,6.232173e+03
25,30,100,6.232173e+03
25,30,1,9.039466e+03
25,30,2,8.309875e+03
25,30,3,8.309875e+03
25,30,5,8.309875e+03
25,30,10,7.640840e+03
25,30,20,5.150466e+03
25,30,30,5.150466e+03
25,30,40,5.028837e+03
25,30,50,4.994478e+03
25,30,60,4.994478e+03
25,30,70,4.994478e+03
25,30,80,4.994478e+03
25,30,90,4.994478e+03
25,30,100,4.994478e+03
