funcid,dim,milestone,error
1,10,1,1.717017e+10
1,10,2,1.717017e+10
1,10,3,1.005932e+10
1,10,5,1.005932e+10
1,10,10,8.371622e+09
1,10,20,8.265819e+09
1,10,30,7.042564e+09
1,10,40,7.042564e+09
1,10,50,7.042564e+09
1,10,60,2.753964e+09
1,10,70,2.753964e+09
1,10,80,2.753964e+09
1,10,90,2.753964e+09
1,10,100,2.753964e+09
1,10,1,1.177818e+10
1,10,2,8.476053e+09
1,10,3,3.839154e+09
1,10,5,3.839154e+09
1,10,10,3.839154e+09
1,10,20,3.839154e+09
1,10,30,3.839154e+09
1,10,40,3.839154e+09
1,10,50,3.839154e+09
1,10,60,3.839154e+09
1,10,70,3.672978e+09
1,10,80,3.672978e+09
1,10,90,3.672978e+09
1,10,100,3.672978e+09
1,10,1,1.426942e+10
1,10,2,1.426942e+10
1,10,3,1.071493e+10
1,10,5,1.071493e+10
1,10,10,5.947003e+09
1,10,20,5.947003e+09
1,10,30,5.947003e+09
1,10,40,4.025820e+09
1,10,50,4.025820e+09
1,10,60,4.025820e+09
1,10,70,4.025820e+09
1,10,80,4.025820e+09
1,10,90,4.025820e+09
1,10,100,4.025820e+09
1,10,1,1.547994e+10
1,10,2,1.215203e+10
1,10,3,9.065991e+09
1,10,5,8.414574e+09
1,10,10,7.514553e+09
1,10,20,6.185725e+09
1,10,30,4.729428e+09
1,10,40,4.729428e+09
1,10,50,3.518701e+09
1,10,60,3.518701e+09
1,10,70,3.518701e+09
1,10,80,3.518701e+09
1,10,90,3.518701e+09
1,10,100,3.518701e+09
1,10,1,1.087796e+10
1,10,2,1.087796e+10
1,10,3,1.087796e+10
1,10,5,1.080695e+10
1,10,10,4.856106e+09
1,10,20,2.730916e+09
1,10,30,2.730916e+09
1,10,40,2.730916e+09
1,10,50,2.730916e+09
1,10,60,2.730916e+09
1,10,70,2.730916e+09
1,10,80,2.730916e+09
1,10,90,2.730916e+09
1,10,100,2.730916e+09
1,10,1,8.470985e+09
1,10,2,8.470985e+09
1,10,3,8.470985e+09
1,10,5,7.527715e+09
1,10,10,7.527715e+09
1,10,20,6.762530e+09
1,10,30,6.762530e+09
1,10,40,6.762530e+09
1,10,50,5.675680e+09
1,10,60,5.675680e+09
1,10,70,5.675680e+09
1,10,80,5.675680e+09
1,10,90,5.675680e+09
1,10,100,5.675680e+09
1,10,1,1.673802e+10
1,10,2,1.673802e+10
1,10,3,1.126382e+10
1,10,5,1.126382e+10
1,10,10,7.555837e+09
1,10,20,6.069042e+09
1,10,30,6.069042e+09
1,10,40,6.069042e+09
1,10,50,5.513626e+09
1,10,60,5.513626e+09
1,10,70,5.513626e+09
1,10,80,5.513626e+09
1,10,90,5.513626e+09
1,10,100,5.513626e+09
1,10,1,9.464610e+09
1,10,2,7.819620e+09
1,10,3,7.771107e+09
1,10,5,7.771107e+09
1,10,10,3.256709e+09
1,10,20,3.256709e+09
1,10,30,3.256709e+09
1,10,40,3.256709e+09
1,10,50,3.256709e+09
1,10,60,3.256709e+09
1,10,70,2.892322e+09
1,10,80,2.892322e+09
1,10,90,2.892322e+09
1,10,100,2.892322e+09
1,10,1,1.381245e+10
1,10,2,1.291851e+10
1,10,3,1.255834e+10
1,10,5,1.075684e+10
1,10,10,5.266116e+09
1,10,20,5.266116e+09
1,10,30,5.266116e+09
1,10,40,5.192658e+09
1,10,50,5.192658e+09
1,10,60,5.095805e+09
1,10,70,5.095805e+09
1,10,80,5.095805e+09
1,10,90,5.095805e+09
1,10,100,5.095805e+09
1,10,1,7.718739e+09
1,10,2,7.718739e+09
1,10,3,7.718739e+09
1,10,5,7.718739e+09
1,10,10,7.718739e+09
1,10,20,5.296624e+09
1,10,30,5.296624e+09
1,10,40,5.296624e+09
1,10,50,3.542631e+09
1,10,60,3.542631e+09
1,10,70,3.542631e+09
1,10,80,3.542631e+09
1,10,90,3.542631e+09
1,10,100,3.522642e+09
