funcid,dim,milestone,error
2,30,1,1.656962e+48
2,30,2,1.145332e+47
2,30,3,3.564921e+44
2,30,5,3.564921e+44
2,30,10,1.378455e+42
2,30,20,1.378455e+42
2,30,30,7.736448e+41
2,30,40,7.736448e+41
2,30,50,7.736448e+41
2,30,60,7.736448e+41
2,30,70,7.736448e+41
2,30,80,7.736448e+41
2,30,90,7.736448e+41
2,30,100,7.736448e+41
2,30,1,9.427356e+45
2,30,2,9.427356e+45
2,30,3,9.427356e+45
2,30,5,1.774166e+44
2,30,10,1.283462e+43
2,30,20,3.150695e+36
2,30,30,3.150695e+36
2,30,40,3.150695e+36
2,30,50,3.150695e+36
2,30,60,3.150695e+36
2,30,70,3.150695e+36
2,30,80,3.150695e+36
2,30,90,3.150695e+36
2,30,100,3.150695e+36
2,30,1,1.354054e+46
2,30,2,2.589985e+44
2,30,3,2.589985e+44
2,30,5,8.150026e+43
2,30,10,6.441011e+41
2,30,20,6.441011e+41
2,30,30,6.441011e+41
2,30,40,1.335570e+41
2,30,50,1.335570e+41
2,30,60,1.335570e+41
2,30,70,1.335570e+41
2,30,80,1.335570e+41
2,30,90,1.335570e+41
2,30,100,1.335570e+41
2,30,1,4.386883e+46
2,30,2,3.676462e+44
2,30,3,3.676462e+44
2,30,5,4.480326e+39
2,30,10,4.480326e+39
2,30,20,4.480326e+39
2,30,30,4.480326e+39
2,30,40,4.480326e+39
2,30,50,4.480326e+39
2,30,60,4.480326e+39
2,30,70,4.480326e+39
2,30,80,4.480326e+39
2,30,90,4.480326e+39
2,30,100,4.480326e+39
2,30,1,2.099141e+46
2,30,2,3.307455e+45
2,30,3,3.307455e+45
2,30,5,3.115800e+45
2,30,10,1.501251e+44
2,30,20,1.838495e+42
2,30,30,1.838495e+42
2,30,40,1.838495e+42
2,30,50,3.967871e+41
2,30,60,3.967871e+41
2,30,70,3.967871e+41
2,30,80,1.224750e+41
2,30,90,1.224750e+41
2,30,100,1.224750e+41
2,30,1,6.105420e+46
2,30,2,3.798274e+46
2,30,3,3.802860e+41
2,30,5,3.802860e+41
2,30,10,1.738479e+41
2,30,20,1.738479e+41
2,30,30,1.738479e+41
2,30,40,1.738479e+41
2,30,50,1.738479e+41
2,30,60,1.738479e+41
2,30,70,1.575049e+41
2,30,80,1.575049e+41
2,30,90,1.575049e+41
2,30,100,1.575049e+41
2,30,1,1.078504e+47
2,30,2,7.558422e+46
2,30,3,7.558422e+46
2,30,5,2.683962e+44
2,30,10,1.275276e+44
2,30,20,5.543744e+43
2,30,30,5.543744e+43
2,30,40,5.543744e+43
2,30,50,5.543744e+43
2,30,60,5.543744e+43
2,30,70,5.543744e+43
2,30,80,5.543744e+43
2,30,90,6.589813e+42
2,30,100,6.589813e+42
2,30,1,2.062706e+44
2,30,2,2.062706e+44
2,30,3,2.062706e+44
2,30,5,2.062706e+44
2,30,10,7.586803e+43
2,30,20,1.860634e+40
2,30,30,1.860634e+40
2,30,40,1.860634e+40
2,30,50,1.860634e+40
2,30,60,1.860634e+40
2,30,70,1.860634e+40
2,30,80,1.860634e+40
2,30,90,1.860634e+40
2,30,100,1.860634e+40
2,30,1,2.709906e+46
2,30,2,1.413129e+46
2,30,3,1.413129e+46
2,30,5,1.413129e+46
2,30,10,1.074685e+45
2,30,20,7.207012e+44
2,30,30,7.207012e+44
2,30,40,7.207012e+44
2,30,50,7.207012e+44
2,30,60,7.207012e+44
2,30,70,7.207012e+44
2,30,80,7.207012e+44
2,30,90,4.933693e+44
2,30,100,4.933693e+44
2,30,1,1.129879e+48
2,30,2,4.058902e+40
2,30,3,4.058902e+40
2,30,5,4.058902e+40
2,30,10,4.058902e+40
2,30,20,4.058902e+40
2,30,30,4.058902e+40
2,30,40,4.058902e+40
2,30,50,1.372113e+40
2,30,60,1.372113e+40
2,30,70,1.372113e+40
2,30,80,1.372113e+40
2,30,90,1.372113e+40
2,30,100,1.372113e+40
