funcid,dim,milestone,error
17,30,1,1.834891e+03
17,30,2,1.834891e+03
17,30,3,1.834891e+03
17,30,5,1.719677e+03
17,30,10,1.719677e+03
17,30,20,1.239413e+03
17,30,30,1.237175e+03
17,30,40,7.749798e+02
17,30,50,7.749798e+02
17,30,60,7.749798e+02
17,30,70,7.749798e+02
17,30,80,7.749798e+02
17,30,90,7.749798e+02
17,30,100,7.749798e+02
17,30,1,3.896119e+03
17,30,2,2.112967e+03
17,30,3,2.112967e+03
17,30,5,2.035180e+03
17,30,10,1.713036e+03
17,30,20,1.705343e+03
17,30,30,1.688298e+03
17,30,40,1.688298e+03
17,30,50,1.688298e+03
17,30,60,1.688298e+03
17,30,70,1.162197e+03
17,30,80,8.167267e+02
17,30,90,8.167267e+02
17,30,100,8.167267e+02
17,30,1,3.071044e+03
17,30,2,3.071044e+03
17,30,3,2.180485e+03
17,30,5,2.180485e+03
17,30,10,2.180485e+03
17,30,20,1.814325e+03
17,30,30,1.782194e+03
17,30,40,1.782194e+03
17,30,50,1.782194e+03
17,30,60,1.728729e+03
17,30,70,1.728729e+03
17,30,80,9.816035e+02
17,30,90,8.942396e+02
17,30,100,7.356530e+02
17,30,1,2.527802e+03
17,30,2,2.527802e+03
17,30,3,2.527802e+03
17,30,5,2.399741e+03
17,30,10,1.867309e+03
17,30,20,1.854870e+03
17,30,30,1.842047e+03
17,30,40,1.833960e+03
17,30,50,1.833960e+03
17,30,60,1.756371e+03
17,30,70,1.076112e+03
17,30,80,8.199428e+02
17,30,90,8.199428e+02
17,30,100,8.199428e+02
17,30,1,2.972061e+03
17,30,2,2.207333e+03
17,30,3,2.207333e+03
17,30,5,2.207333e+03
17,30,10,1.784813e+03
17,30,20,1.385803e+03
17,30,30,1.368558e+03
17,30,40,1.146310e+03
17,30,50,1.146310e+03
17,30,60,1.146310e+03
17,30,70,7.976126e+02
17,30,80,7.976126e+02
17,30,90,6.298668e+02
17,30,100,5.305283e+02
17,30,1,2.225517e+03
17,30,2,2.225517e+03
17,30,3,2.225517e+03
17,30,5,2.225517e+03
17,30,10,2.225517e+03
17,30,20,1.968657e+03
17,30,30,1.968657e+03
17,30,40,1.399965e+03
17,30,50,1.399965e+03
17,30,60,1.399965e+03
17,30,70,1.311254e+03
17,30,80,1.110499e+03
17,30,90,1.110499e+03
17,30,100,9.791576e+02
17,30,1,3.191110e+03
17,30,2,3.095168e+03
17,30,3,2.407659e+03
17,30,5,1.905541e+03
17,30,10,1.905541e+03
17,30,20,1.905541e+03
17,30,30,1.904926e+03
17,30,40,1.498276e+03
17,30,50,1.482814e+03
17,30,60,1.482814e+03
17,30,70,1.482814e+03
17,30,80,9.104272e+02
17,30,90,8.189666e+02
17,30,100,5.161019e+02
17,30,1,1.948345e+03
17,30,2,1.948345e+03
17,30,3,1.948345e+03
17,30,5,1.948345e+03
17,30,10,1.636749e+03
17,30,20,1.636749e+03
17,30,30,1.636749e+03
17,30,40,1.636749e+03
17,30,50,1.434627e+03
17,30,60,1.434627e+03
17,30,70,1.091708e+03
17,30,80,1.091708e+03
17,30,90,1.091708e+03
17,30,100,1.091708e+03
17,30,1,2.627982e+03
17,30,2,2.417639e+03
17,30,3,1.899178e+03
17,30,5,1.899178e+03
17,30,10,1.899178e+03
17,30,20,1.765938e+03
17,30,30,1.765938e+03
17,30,40,1.762070e+03
17,30,50,1.072322e+03
17,30,60,1.072322e+03
17,30,70,9.337166e+02
17,30,80,9.337166e+02
17,30,90,9.337166e+02
17,30,100,7.326229e+02
17,30,1,2.336286e+03
17,30,2,2.323058e+03
17,30,3,2.323058e+03
17,30,5,2.322473e+03
17,30,10,1.984081e+03
17,30,20,1.783837e+03
17,30,30,1.783776e+03
17,30,40,1.423920e+03
17,30,50,1.423920e+03
17,30,60,1.423920e+03
17,30,70,9.621790e+02
17,30,80,9.621790e+02
17,30,90,8.990052e+02
17,30,100,8.990052e+02
