funcid,dim,milestone,error
1,30,1,8.776333e+10
1,30,2,8.776333e+10
1,30,3,8.669912e+10
1,30,5,7.592514e+10
1,30,10,7.170186e+10
1,30,20,7.170186e+10
1,30,30,7.100704e+10
1,30,40,7.100704e+10
1,30,50,3.928283e+07
1,30,60,3.928283e+07
1,30,70,3.093640e+07
1,30,80,3.093640e+07
1,30,90,2.434238e+07
1,30,100,2.335347e+07
1,30,1,9.519726e+10
1,30,2,8.159507e+10
1,30,3,8.159507e+10
1,30,5,8.009312e+10
1,30,10,7.993309e+10
1,30,20,7.467095e+10
1,30,30,7.467095e+10
1,30,40,7.431646e+10
1,30,50,7.431646e+10
1,30,60,7.374718e+10
1,30,70,7.374718e+10
1,30,80,2.641567e+07
1,30,90,1.704396e+07
1,30,100,1.704396e+07
1,30,1,7.162901e+10
1,30,2,7.162901e+10
1,30,3,7.162901e+10
1,30,5,6.884997e+10
1,30,10,6.884997e+10
1,30,20,5.873695e+09
1,30,30,8.135609e+07
1,30,40,6.287718e+07
1,30,50,6.287718e+07
1,30,60,6.243673e+07
1,30,70,2.399726e+07
1,30,80,1.985692e+07
1,30,90,1.985692e+07
1,30,100,1.985692e+07
1,30,1,8.955046e+10
1,30,2,8.955046e+10
1,30,3,8.955046e+10
1,30,5,8.955046e+10
1,30,10,5.117825e+10
1,30,20,6.590624e+09
1,30,30,8.766413e+07
1,30,40,8.766413e+07
1,30,50,8.470763e+07
1,30,60,8.470763e+07
1,30,70,7.094336e+06
1,30,80,7.094336e+06
1,30,90,7.094336e+06
1,30,100,7.094336e+06
1,30,1,6.698995e+10
1,30,2,6.698995e+10
1,30,3,6.698995e+10
1,30,5,6.698995e+10
1,30,10,6.698995e+10
1,30,20,6.874144e+09
1,30,30,6.640287e+07
1,30,40,4.769395e+07
1,30,50,4.712544e+07
1,30,60,4.712544e+07
1,30,70,1.558715e+07
1,30,80,1.558715e+07
1,30,90,1.558715e+07
1,30,100,1.213099e+07
1,30,1,8.471723e+10
1,30,2,8.471723e+10
1,30,3,7.463643e+10
1,30,5,6.606223e+10
1,30,10,6.606223e+10
1,30,20,8.704498e+09
1,30,30,6.150315e+07
1,30,40,6.150315e+07
1,30,50,6.150315e+07
1,30,60,6.150315e+07
1,30,70,4.455704e+07
1,30,80,2.260186e+07
1,30,90,1.466339e+07
1,30,100,1.430014e+07
1,30,1,8.181682e+10
1,30,2,8.181682e+10
1,30,3,7.637713e+10
1,30,5,7.637713e+10
1,30,10,6.581543e+10
1,30,20,6.581543e+10
1,30,30,6.513870e+10
1,30,40,4.717124e+07
1,30,50,4.717124e+07
1,30,60,4.717124e+07
1,30,70,4.717124e+07
1,30,80,2.987862e+07
1,30,90,1.238251e+07
1,30,100,1.238251e+07
1,30,1,8.686600e+10
1,30,2,8.686600e+10
1,30,3,6.653747e+10
1,30,5,6.653747e+10
1,30,10,6.653747e+10
1,30,20,4.589115e+09
1,30,30,4.157446e+07
1,30,40,3.503901e+07
1,30,50,3.503901e+07
1,30,60,3.480643e+07
1,30,70,1.921415e+07
1,30,80,1.921415e+07
1,30,90,1.228288e+07
1,30,100,1.228288e+07
1,30,1,8.997700e+10
1,30,2,7.613689e+10
1,30,3,7.613689e+10
1,30,5,7.613689e+10
1,30,10,5.597724e+10
1,30,20,5.597724e+10
1,30,30,5.597724e+10
1,30,40,5.597724e+10
1,30,50,4.039382e+07
1,30,60,4.039382e+07
1,30,70,3.014778e+07
1,30,80,2.425486e+07
1,30,90,1.361777e+07
1,30,100,1.361777e+07
1,30,1,8.757023e+10
1,30,2,7.073575e+10
1,30,3,7.073575e+10
1,30,5,7.073575e+10
1,30,10,7.073575e+10
1,30,20,1.134142e+10
1,30,30,6.586281e+07
1,30,40,6.050236e+07
1,30,50,6.050236e+07
1,30,60,6.050236e+07
1,30,70,3.222857e+07
1,30,80,1.650010e+07
1,30,90,1.650010e+07
1,30,100,1.650010e+07
