funcid,dim,milestone,error
20,10,1,3.278107e+02
20,10,2,3.278107e+02
20,10,3,3.278107e+02
20,10,5,3.158887e+02
20,10,10,2.718561e+02
20,10,20,1.320719e+02
20,10,30,1.320719e+02
20,10,40,1.320719e+02
20,10,50,1.320719e+02
20,10,60,1.320719e+02
20,10,70,1.320719e+02
20,10,80,1.320719e+02
20,10,90,1.320719e+02
20,10,100,1.320719e+02
20,10,1,3.919146e+02
20,10,2,3.476987e+02
20,10,3,2.425386e+02
20,10,5,2.229327e+02
20,10,10,1.559612e+02
20,10,20,1.502308e+02
20,10,30,1.502308e+02
20,10,40,1.040176e+02
20,10,50,1.040176e+02
20,10,60,1.040176e+02
20,10,70,1.040176e+02
20,10,80,1.040176e+02
20,10,90,1.040176e+02
20,10,100,1.040176e+02
20,10,1,4.558742e+02
20,10,2,3.242297e+02
20,10,3,3.242297e+02
20,10,5,2.516691e+02
20,10,10,1.896993e+02
20,10,20,1.896993e+02
20,10,30,1.840665e+02
20,10,40,1.840665e+02
20,10,50,1.840665e+02
20,10,60,1.840665e+02
20,10,70,1.840665e+02
20,10,80,1.840665e+02
20,10,90,1.840665e+02
20,10,100,1.840665e+02
20,10,1,3.960149e+02
20,10,2,3.960149e+02
20,10,3,3.634426e+02
20,10,5,2.436400e+02
20,10,10,1.730822e+02
20,10,20,1.727343e+02
20,10,30,1.727343e+02
20,10,40,1.533954e+02
20,10,50,1.533954e+02
20,10,60,1.533954e+02
20,10,70,1.130847e+02
20,10,80,1.130847e+02
20,10,90,1.130847e+02
20,10,100,1.130847e+02
20,10,1,3.802590e+02
20,10,2,3.802590e+02
20,10,3,2.324873e+02
20,10,5,2.217612e+02
20,10,10,2.217612e+02
20,10,20,1.534991e+02
20,10,30,1.534991e+02
20,10,40,1.534991e+02
20,10,50,1.534991e+02
20,10,60,1.534991e+02
20,10,70,1.534991e+02
20,10,80,1.534991e+02
20,10,90,1.534991e+02
20,10,100,1.534991e+02
20,10,1,3.883121e+02
20,10,2,3.693991e+02
20,10,3,2.893282e+02
20,10,5,1.727091e+02
20,10,10,1.727091e+02
20,10,20,1.727091e+02
20,10,30,1.727091e+02
20,10,40,1.727091e+02
20,10,50,1.486913e+02
20,10,60,1.486913e+02
20,10,70,1.486913e+02
20,10,80,1.486913e+02
20,10,90,1.486913e+02
20,10,100,1.486913e+02
20,10,1,3.533634e+02
20,10,2,3.533634e+02
20,10,3,3.059324e+02
20,10,5,3.059324e+02
20,10,10,2.642168e+02
20,10,20,1.567729e+02
20,10,30,1.567729e+02
20,10,40,1.567729e+02
20,10,50,1.567729e+02
20,10,60,1.567729e+02
20,10,70,1.567729e+02
20,10,80,1.438973e+02
20,10,90,1.438973e+02
20,10,100,1.438973e+02
20,10,1,3.259013e+02
20,10,2,2.499386e+02
20,10,3,2.499386e+02
20,10,5,2.400928e+02
20,10,10,2.400928e+02
20,10,20,2.400928e+02
20,10,30,2.400928e+02
20,10,40,2.066007e+02
20,10,50,2.066007e+02
20,10,60,1.830528e+02
20,10,70,1.830528e+02
20,10,80,1.830528e+02
20,10,90,1.830528e+02
20,10,100,1.830528e+02
20,10,1,3.596271e+02
20,10,2,3.079270e+02
20,10,3,3.079270e+02
20,10,5,1.707168e+02
20,10,10,1.707168e+02
20,10,20,1.707168e+02
20,10,30,1.707168e+02
20,10,40,1.707168e+02
20,10,50,1.707168e+02
20,10,60,1.560912e+02
20,10,70,1.560912e+02
20,10,80,1.560912e+02
20,10,90,1.560912e+02
20,10,100,1.560912e+02
20,10,1,3.525092e+02
20,10,2,2.644590e+02
20,10,3,2.644590e+02
20,10,5,2.644590e+02
20,10,10,2.644590e+02
20,10,20,1.573918e+02
20,10,30,1.573918e+02
20,10,40,1.573918e+02
20,10,50,1.573918e+02
20,10,60,1.573918e+02
20,10,70,1.573918e+02
20,10,80,1.573918e+02
20,10,90,1.573918e+02
20,10,100,1.573918e+02
