funcid,dim,milestone,error
7,30,1,2.167653e+03
7,30,2,2.167653e+03
7,30,3,2.112910e+03
7,30,5,2.112910e+03
7,30,10,1.796009e+03
7,30,20,1.796009e+03
7,30,30,1.796009e+03
7,30,40,1.773647e+03
7,30,50,1.773647e+03
7,30,60,1.773647e+03
7,30,70,1.760073e+03
7,30,80,1.760073e+03
7,30,90,1.760073e+03
7,30,100,1.760073e+03
7,30,1,2.092452e+03
7,30,2,2.092452e+03
7,30,3,1.784353e+03
7,30,5,1.784353e+03
7,30,10,1.737033e+03
7,30,20,1.737033e+03
7,30,30,1.737033e+03
7,30,40,1.721947e+03
7,30,50,1.721947e+03
7,30,60,1.721947e+03
7,30,70,1.721947e+03
7,30,80,1.707851e+03
7,30,90,1.707851e+03
7,30,100,1.707851e+03
7,30,1,1.976437e+03
7,30,2,1.976437e+03
7,30,3,1.976437e+03
7,30,5,1.581265e+03
7,30,10,1.581265e+03
7,30,20,1.581265e+03
7,30,30,1.581265e+03
7,30,40,1.581265e+03
7,30,50,1.581265e+03
7,30,60,1.555037e+03
7,30,70,1.555037e+03
7,30,80,1.545219e+03
7,30,90,1.545219e+03
7,30,100,1.545219e+03
7,30,1,1.797659e+03
7,30,2,1.797659e+03
7,30,3,1.797659e+03
7,30,5,1.797659e+03
7,30,10,1.797659e+03
7,30,20,1.797659e+03
7,30,30,1.797659e+03
7,30,40,1.797659e+03
7,30,50,1.797659e+03
7,30,60,1.797659e+03
7,30,70,1.797659e+03
7,30,80,1.797659e+03
7,30,90,1.797659e+03
7,30,100,1.797659e+03
7,30,1,1.965823e+03
7,30,2,1.965823e+03
7,30,3,1.804270e+03
7,30,5,1.804270e+03
7,30,10,1.804270e+03
7,30,20,1.672094e+03
7,30,30,1.672094e+03
7,30,40,1.672094e+03
7,30,50,1.655117e+03
7,30,60,1.655117e+03
7,30,70,1.655117e+03
7,30,80,1.655117e+03
7,30,90,1.655117e+03
7,30,100,1.655117e+03
7,30,1,2.166738e+03
7,30,2,2.166738e+03
7,30,3,1.710049e+03
7,30,5,1.710049e+03
7,30,10,1.710049e+03
7,30,20,1.710049e+03
7,30,30,1.710049e+03
7,30,40,1.710049e+03
7,30,50,1.710049e+03
7,30,60,1.710049e+03
7,30,70,1.710049e+03
7,30,80,1.710049e+03
7,30,90,1.710049e+03
7,30,100,1.710049e+03
7,30,1,2.342190e+03
7,30,2,2.084121e+03
7,30,3,2.084121e+03
7,30,5,2.084121e+03
7,30,10,2.077495e+03
7,30,20,1.897595e+03
7,30,30,1.872069e+03
7,30,40,1.872069e+03
7,30,50,1.839383e+03
7,30,60,1.839383e+03
7,30,70,1.839383e+03
7,30,80,1.839383e+03
7,30,90,1.839383e+03
7,30,100,1.839383e+03
7,30,1,2.051146e+03
7,30,2,2.051146e+03
7,30,3,1.990415e+03
7,30,5,1.865964e+03
7,30,10,1.865964e+03
7,30,20,1.865964e+03
7,30,30,1.865964e+03
7,30,40,1.865964e+03
7,30,50,1.854497e+03
7,30,60,1.854497e+03
7,30,70,1.828340e+03
7,30,80,1.828340e+03
7,30,90,1.828340e+03
7,30,100,1.828340e+03
7,30,1,2.266720e+03
7,30,2,2.163612e+03
7,30,3,2.163612e+03
7,30,5,2.163612e+03
7,30,10,1.554059e+03
7,30,20,1.554059e+03
7,30,30,1.554059e+03
7,30,40,1.554059e+03
7,30,50,1.554059e+03
7,30,60,1.554059e+03
7,30,70,1.554059e+03
7,30,80,1.554059e+03
7,30,90,1.554059e+03
7,30,100,1.554059e+03
7,30,1,2.128607e+03
7,30,2,2.048240e+03
7,30,3,2.048240e+03
7,30,5,2.048240e+03
7,30,10,2.048240e+03
7,30,20,1.696795e+03
7,30,30,1.696795e+03
7,30,40,1.693716e+03
7,30,50,1.693716e+03
7,30,60,1.693716e+03
7,30,70,1.693716e+03
7,30,80,1.663757e+03
7,30,90,1.663757e+03
7,30,100,1.619326e+03
