funcid,dim,milestone,error
5,30,1,4.990780e+02
5,30,2,4.990780e+02
5,30,3,4.990780e+02
5,30,5,4.990780e+02
5,30,10,4.990780e+02
5,30,20,4.934454e+02
5,30,30,4.934454e+02
5,30,40,4.809433e+02
5,30,50,4.809433e+02
5,30,60,4.809433e+02
5,30,70,4.809433e+02
5,30,80,4.809433e+02
5,30,90,4.809433e+02
5,30,100,4.809433e+02
5,30,1,5.959754e+02
5,30,2,5.661925e+02
5,30,3,5.369926e+02
5,30,5,5.369926e+02
5,30,10,5.260572e+02
5,30,20,4.959105e+02
5,30,30,4.959105e+02
5,30,40,4.846722e+02
5,30,50,4.846722e+02
5,30,60,4.846722e+02
5,30,70,4.846722e+02
5,30,80,4.802604e+02
5,30,90,4.691283e+02
5,30,100,4.654490e+02
5,30,1,5.911953e+02
5,30,2,5.774106e+02
5,30,3,5.593284e+02
5,30,5,4.905828e+02
5,30,10,4.905828e+02
5,30,20,4.813725e+02
5,30,30,4.671367e+02
5,30,40,4.671367e+02
5,30,50,4.625819e+02
5,30,60,4.625819e+02
5,30,70,4.625819e+02
5,30,80,4.625819e+02
5,30,90,4.625819e+02
5,30,100,4.625819e+02
5,30,1,5.593848e+02
5,30,2,5.593848e+02
5,30,3,5.593848e+02
5,30,5,5.593848e+02
5,30,10,5.198070e+02
5,30,20,5.099220e+02
5,30,30,4.783345e+02
5,30,40,4.783345e+02
5,30,50,4.783345e+02
5,30,60,4.783345e+02
5,30,70,4.783345e+02
5,30,80,4.783345e+02
5,30,90,4.783345e+02
5,30,100,4.783345e+02
5,30,1,5.122450e+02
5,30,2,5.122450e+02
5,30,3,5.122450e+02
5,30,5,5.122450e+02
5,30,10,4.764258e+02
5,30,20,4.454791e+02
5,30,30,4.454791e+02
5,30,40,4.454791e+02
5,30,50,4.454791e+02
5,30,60,4.450782e+02
5,30,70,4.450782e+02
5,30,80,4.450782e+02
5,30,90,4.450782e+02
5,30,100,4.450782e+02
5,30,1,6.075842e+02
5,30,2,5.796445e+02
5,30,3,5.793817e+02
5,30,5,5.371779e+02
5,30,10,4.972364e+02
5,30,20,4.923825e+02
5,30,30,4.922237e+02
5,30,40,4.841094e+02
5,30,50,4.841094e+02
5,30,60,4.841094e+02
5,30,70,4.841094e+02
5,30,80,4.841094e+02
5,30,90,4.841094e+02
5,30,100,4.841094e+02
5,30,1,5.757822e+02
5,30,2,5.757822e+02
5,30,3,5.757822e+02
5,30,5,5.443239e+02
5,30,10,4.978186e+02
5,30,20,4.978186e+02
5,30,30,4.978186e+02
5,30,40,4.978186e+02
5,30,50,4.978186e+02
5,30,60,4.978186e+02
5,30,70,4.935886e+02
5,30,80,4.935886e+02
5,30,90,4.935886e+02
5,30,100,4.875010e+02
5,30,1,5.811649e+02
5,30,2,5.811649e+02
5,30,3,5.811649e+02
5,30,5,5.342837e+02
5,30,10,5.342837e+02
5,30,20,4.675808e+02
5,30,30,4.675808e+02
5,30,40,4.675808e+02
5,30,50,4.675808e+02
5,30,60,4.617848e+02
5,30,70,4.617848e+02
5,30,80,4.617848e+02
5,30,90,4.617848e+02
5,30,100,4.617848e+02
5,30,1,5.349920e+02
5,30,2,5.349920e+02
5,30,3,5.349920e+02
5,30,5,5.018442e+02
5,30,10,5.018442e+02
5,30,20,5.018442e+02
5,30,30,5.018442e+02
5,30,40,4.747550e+02
5,30,50,4.747550e+02
5,30,60,4.747550e+02
5,30,70,4.747550e+02
5,30,80,4.747550e+02
5,30,90,4.747550e+02
5,30,100,4.747550e+02
5,30,1,6.168373e+02
5,30,2,5.852893e+02
5,30,3,5.147083e+02
5,30,5,4.813336e+02
5,30,10,4.813336e+02
5,30,20,4.813336e+02
5,30,30,4.584127e+02
5,30,40,4.584127e+02
5,30,50,4.584127e+02
5,30,60,4.584127e+02
5,30,70,4.584127e+02
5,30,80,4.584127e+02
5,30,90,4.584127e+02
5,30,100,4.584127e+02
