funcid,dim,milestone,error
14,30,1,1.881801e+07
14,30,2,2.731873e+06
14,30,3,2.731873e+06
14,30,5,2.731873e+06
14,30,10,2.731873e+06
14,30,20,1.026880e+06
14,30,30,1.026880e+06
14,30,40,1.026880e+06
14,30,50,1.026871e+06
14,30,60,1.026871e+06
14,30,70,7.422120e+04
14,30,80,3.401822e+04
14,30,90,2.602814e+04
14,30,100,2.602814e+04
14,30,1,8.596952e+06
14,30,2,1.639930e+06
14,30,3,1.639930e+06
14,30,5,1.639930e+06
14,30,10,1.639930e+06
14,30,20,1.639930e+06
14,30,30,1.639930e+06
14,30,40,1.639930e+06
14,30,50,1.057220e+06
14,30,60,1.057220e+06
14,30,70,3.681579e+05
14,30,80,3.681579e+05
14,30,90,1.183904e+05
14,30,100,1.183904e+05
14,30,1,1.294694e+07
14,30,2,4.428517e+06
14,30,3,4.428517e+06
14,30,5,4.428517e+06
14,30,10,2.073359e+06
14,30,20,1.938477e+06
14,30,30,1.938477e+06
14,30,40,1.938477e+06
14,30,50,1.938477e+06
14,30,60,1.938477e+06
14,30,70,7.368783e+04
14,30,80,7.368783e+04
14,30,90,7.368783e+04
14,30,100,7.368783e+04
14,30,1,8.470035e+06
14,30,2,8.470035e+06
14,30,3,8.232135e+06
14,30,5,8.232135e+06
14,30,10,4.897095e+06
14,30,20,2.341930e+06
14,30,30,5.747104e+05
14,30,40,5.747104e+05
14,30,50,5.747104e+05
14,30,60,5.747104e+05
14,30,70,3.938386e+05
14,30,80,3.443972e+04
14,30,90,3.443972e+04
14,30,100,3.443972e+04
14,30,1,1.140788e+07
14,30,2,7.443819e+06
14,30,3,6.507224e+06
14,30,5,2.474248e+06
14,30,10,2.474248e+06
14,30,20,8.176106e+05
14,30,30,8.176106e+05
14,30,40,8.176106e+05
14,30,50,8.176106e+05
14,30,60,8.176106e+05
14,30,70,2.960196e+05
14,30,80,1.148245e+05
14,30,90,1.148245e+05
14,30,100,7.587032e+04
14,30,1,1.322210e+07
14,30,2,1.100749e+07
14,30,3,1.100749e+07
14,30,5,3.394878e+06
14,30,10,3.394878e+06
14,30,20,3.394878e+06
14,30,30,3.394878e+06
14,30,40,3.394878e+06
14,30,50,3.394878e+06
14,30,60,2.302541e+06
14,30,70,5.343770e+04
14,30,80,4.908982e+04
14,30,90,4.908982e+04
14,30,100,4.908982e+04
14,30,1,6.185287e+06
14,30,2,6.185287e+06
14,30,3,1.264373e+06
14,30,5,1.264373e+06
14,30,10,1.264373e+06
14,30,20,1.264373e+06
14,30,30,1.264373e+06
14,30,40,1.264373e+06
14,30,50,1.264373e+06
14,30,60,1.264373e+06
14,30,70,3.901052e+04
14,30,80,3.901052e+04
14,30,90,3.901052e+04
14,30,100,3.901052e+04
14,30,1,8.544212e+06
14,30,2,8.544212e+06
14,30,3,5.453832e+06
14,30,5,4.102644e+06
14,30,10,1.447590e+06
14,30,20,1.197909e+05
14,30,30,1.197909e+05
14,30,40,1.197909e+05
14,30,50,1.197909e+05
14,30,60,1.197909e+05
14,30,70,1.197909e+05
14,30,80,1.197909e+05
14,30,90,1.070186e+05
14,30,100,1.070186e+05
14,30,1,7.159503e+06
14,30,2,7.159503e+06
14,30,3,7.159503e+06
14,30,5,3.724199e+06
14,30,10,3.724199e+06
14,30,20,2.330730e+06
14,30,30,1.657767e+06
14,30,40,1.657767e+06
14,30,50,1.657767e+06
14,30,60,1.657767e+06
14,30,70,3.037659e+05
14,30,80,5.117591e+04
14,30,90,5.117591e+04
14,30,100,5.117591e+04
14,30,1,1.744649e+06
14,30,2,1.744649e+06
14,30,3,1.744649e+06
14,30,5,1.744649e+06
14,30,10,1.744649e+06
14,30,20,1.744649e+06
14,30,30,1.744649e+06
14,30,40,1.375290e+06
14,30,50,1.252219e+06
14,30,60,6.066251e+04
14,30,70,4.609660e+04
14,30,80,4.609660e+04
14,30,90,4.609660e+04
14,30,100,4.609660e+04
