funcid,dim,milestone,error
28,10,1,1.117046e+03
28,10,2,1.115801e+03
28,10,3,9.032448e+02
28,10,5,8.243806e+02
28,10,10,7.196987e+02
28,10,20,6.860717e+02
28,10,30,6.860717e+02
28,10,40,6.860717e+02
28,10,50,6.860717e+02
28,10,60,6.860717e+02
28,10,70,3.704169e+02
28,10,80,3.704169e+02
28,10,90,3.704169e+02
28,10,100,3.704169e+02
28,10,1,1.032787e+03
28,10,2,7.583179e+02
28,10,3,7.583179e+02
28,10,5,7.583179e+02
28,10,10,7.583179e+02
28,10,20,5.974044e+02
28,10,30,5.974044e+02
28,10,40,5.974044e+02
28,10,50,5.974044e+02
28,10,60,5.974044e+02
28,10,70,3.777730e+02
28,10,80,3.093418e+02
28,10,90,3.093418e+02
28,10,100,3.093418e+02
28,10,1,8.248693e+02
28,10,2,8.248693e+02
28,10,3,8.248693e+02
28,10,5,7.805432e+02
28,10,10,6.752548e+02
28,10,20,6.752548e+02
28,10,30,6.752548e+02
28,10,40,6.752548e+02
28,10,50,6.752548e+02
28,10,60,6.752548e+02
28,10,70,6.752548e+02
28,10,80,6.752548e+02
28,10,90,6.752548e+02
28,10,100,6.752548e+02
28,10,1,6.477758e+02
28,10,2,6.477758e+02
28,10,3,6.477758e+02
28,10,5,6.477758e+02
28,10,10,6.477758e+02
28,10,20,6.477758e+02
28,10,30,5.598555e+02
28,10,40,5.598555e+02
28,10,50,5.598555e+02
28,10,60,5.598555e+02
28,10,70,5.598555e+02
28,10,80,5.598555e+02
28,10,90,5.598555e+02
28,10,100,5.598555e+02
28,10,1,1.240425e+03
28,10,2,9.451031e+02
28,10,3,8.039500e+02
28,10,5,8.039500e+02
28,10,10,8.039500e+02
28,10,20,7.194606e+02
28,10,30,7.194606e+02
28,10,40,7.194606e+02
28,10,50,7.194606e+02
28,10,60,6.789947e+02
28,10,70,6.789947e+02
28,10,80,6.789947e+02
28,10,90,6.789947e+02
28,10,100,6.750802e+02
28,10,1,9.289897e+02
28,10,2,9.289897e+02
28,10,3,9.289897e+02
28,10,5,9.289897e+02
28,10,10,9.289897e+02
28,10,20,8.502691e+02
28,10,30,7.097677e+02
28,10,40,7.097677e+02
28,10,50,7.097677e+02
28,10,60,7.097677e+02
28,10,70,7.097677e+02
28,10,80,7.097677e+02
28,10,90,7.019088e+02
28,10,100,4.545783e+02
28,10,1,9.600195e+02
28,10,2,9.600195e+02
28,10,3,9.600195e+02
28,10,5,9.600195e+02
28,10,10,8.212119e+02
28,10,20,6.080787e+02
28,10,30,6.080787e+02
28,10,40,6.080787e+02
28,10,50,6.080787e+02
28,10,60,6.080787e+02
28,10,70,6.080787e+02
28,10,80,6.080787e+02
28,10,90,6.080787e+02
28,10,100,5.000004e+02
28,10,1,1.253143e+03
28,10,2,1.049969e+03
28,10,3,7.566938e+02
28,10,5,7.566938e+02
28,10,10,7.305674e+02
28,10,20,7.049666e+02
28,10,30,6.773234e+02
28,10,40,6.546636e+02
28,10,50,6.546636e+02
28,10,60,6.546636e+02
28,10,70,3.000200e+02
28,10,80,3.000200e+02
28,10,90,3.000200e+02
28,10,100,3.000200e+02
28,10,1,9.881151e+02
28,10,2,8.008320e+02
28,10,3,8.008320e+02
28,10,5,8.008320e+02
28,10,10,7.831148e+02
28,10,20,7.164261e+02
28,10,30,7.164261e+02
28,10,40,7.164261e+02
28,10,50,7.164261e+02
28,10,60,7.164261e+02
28,10,70,4.253711e+02
28,10,80,4.253711e+02
28,10,90,4.253711e+02
28,10,100,4.253711e+02
28,10,1,1.033517e+03
28,10,2,1.033517e+03
28,10,3,1.033517e+03
28,10,5,9.353908e+02
28,10,10,7.657646e+02
28,10,20,7.639384e+02
28,10,30,7.639384e+02
28,10,40,7.639384e+02
28,10,50,7.639384e+02
28,10,60,7.313877e+02
28,10,70,7.108246e+02
28,10,80,7.108246e+02
28,10,90,7.108246e+02
28,10,100,7.108246e+02
