funcid,dim,milestone,error
7,10,1,3.784813e+02
7,10,2,3.145746e+02
7,10,3,2.699983e+02
7,10,5,2.699983e+02
7,10,10,2.699983e+02
7,10,20,2.555565e+02
7,10,30,2.526647e+02
7,10,40,2.030859e+02
7,10,50,2.030859e+02
7,10,60,2.030859e+02
7,10,70,2.030859e+02
7,10,80,2.030859e+02
7,10,90,2.030859e+02
7,10,100,2.030859e+02
7,10,1,3.378097e+02
7,10,2,3.005960e+02
7,10,3,3.005960e+02
7,10,5,2.745244e+02
7,10,10,2.745244e+02
7,10,20,2.514794e+02
7,10,30,2.424279e+02
7,10,40,2.424279e+02
7,10,50,2.095993e+02
7,10,60,2.095993e+02
7,10,70,2.095993e+02
7,10,80,2.095993e+02
7,10,90,2.095993e+02
7,10,100,2.095993e+02
7,10,1,2.902794e+02
7,10,2,2.902794e+02
7,10,3,2.806125e+02
7,10,5,2.772998e+02
7,10,10,2.191011e+02
7,10,20,2.018681e+02
7,10,30,2.018681e+02
7,10,40,2.018681e+02
7,10,50,2.018681e+02
7,10,60,2.018681e+02
7,10,70,2.018681e+02
7,10,80,2.018681e+02
7,10,90,2.018681e+02
7,10,100,2.018681e+02
7,10,1,3.321585e+02
7,10,2,2.977823e+02
7,10,3,2.977823e+02
7,10,5,2.977823e+02
7,10,10,2.554019e+02
7,10,20,2.413873e+02
7,10,30,2.240003e+02
7,10,40,2.240003e+02
7,10,50,2.240003e+02
7,10,60,1.837606e+02
7,10,70,1.837606e+02
7,10,80,1.837606e+02
7,10,90,1.837606e+02
7,10,100,1.837606e+02
7,10,1,3.029536e+02
7,10,2,3.029536e+02
7,10,3,3.029536e+02
7,10,5,3.029536e+02
7,10,10,2.348992e+02
7,10,20,2.348992e+02
7,10,30,2.348992e+02
7,10,40,2.348992e+02
7,10,50,2.124101e+02
7,10,60,2.124101e+02
7,10,70,2.124101e+02
7,10,80,2.124101e+02
7,10,90,2.014051e+02
7,10,100,2.014051e+02
7,10,1,2.355068e+02
7,10,2,2.355068e+02
7,10,3,2.355068e+02
7,10,5,2.355068e+02
7,10,10,2.355068e+02
7,10,20,1.980419e+02
7,10,30,1.980419e+02
7,10,40,1.980419e+02
7,10,50,1.980419e+02
7,10,60,1.980419e+02
7,10,70,1.972548e+02
7,10,80,1.972548e+02
7,10,90,1.972548e+02
7,10,100,1.972548e+02
7,10,1,3.111055e+02
7,10,2,3.111055e+02
7,10,3,2.390479e+02
7,10,5,2.390479e+02
7,10,10,2.135661e+02
7,10,20,1.676177e+02
7,10,30,1.676177e+02
7,10,40,1.676177e+02
7,10,50,1.676177e+02
7,10,60,1.676177e+02
7,10,70,1.676177e+02
7,10,80,1.676177e+02
7,10,90,1.676177e+02
7,10,100,1.676177e+02
7,10,1,3.168704e+02
7,10,2,2.805948e+02
7,10,3,2.805948e+02
7,10,5,2.805948e+02
7,10,10,2.183016e+02
7,10,20,2.183016e+02
7,10,30,1.854117e+02
7,10,40,1.854117e+02
7,10,50,1.854117e+02
7,10,60,1.854117e+02
7,10,70,1.854117e+02
7,10,80,1.795611e+02
7,10,90,1.795611e+02
7,10,100,1.795611e+02
7,10,1,3.621370e+02
7,10,2,3.174800e+02
7,10,3,2.966009e+02
7,10,5,2.966009e+02
7,10,10,2.385463e+02
7,10,20,2.385463e+02
7,10,30,2.141566e+02
7,10,40,2.141566e+02
7,10,50,2.100649e+02
7,10,60,1.991738e+02
7,10,70,1.991738e+02
7,10,80,1.991738e+02
7,10,90,1.991738e+02
7,10,100,1.991738e+02
7,10,1,3.201619e+02
7,10,2,2.985509e+02
7,10,3,2.935270e+02
7,10,5,2.935270e+02
7,10,10,2.364615e+02
7,10,20,2.364615e+02
7,10,30,2.342771e+02
7,10,40,2.342771e+02
7,10,50,2.342771e+02
7,10,60,2.342771e+02
7,10,70,2.342771e+02
7,10,80,2.156636e+02
7,10,90,2.156636e+02
7,10,100,2.156636e+02
