funcid,dim,milestone,error
28,30,1,6.832922e+03
28,30,2,6.832922e+03
28,30,3,6.832922e+03
28,30,5,6.832922e+03
28,30,10,5.101373e+03
28,30,20,5.101373e+03
28,30,30,4.994027e+03
28,30,40,4.994027e+03
28,30,50,6.586969e+02
28,30,60,6.582590e+02
28,30,70,5.169040e+02
28,30,80,5.169040e+02
28,30,90,5.169040e+02
28,30,100,5.169040e+02
28,30,1,4.342126e+03
28,30,2,4.342126e+03
28,30,3,4.342126e+03
28,30,5,4.342126e+03
28,30,10,4.342126e+03
28,30,20,1.789953e+03
28,30,30,7.572922e+02
28,30,40,5.700451e+02
28,30,50,5.656482e+02
28,30,60,5.656482e+02
28,30,70,5.656482e+02
28,30,80,5.497104e+02
28,30,90,5.497104e+02
28,30,100,5.497104e+02
28,30,1,5.319240e+03
28,30,2,5.319240e+03
28,30,3,5.319240e+03
28,30,5,5.319240e+03
28,30,10,5.225277e+03
28,30,20,1.224645e+03
28,30,30,5.863030e+02
28,30,40,5.859690e+02
28,30,50,5.859690e+02
28,30,60,5.859690e+02
28,30,70,5.497961e+02
28,30,80,5.497961e+02
28,30,90,5.497961e+02
28,30,100,5.497961e+02
28,30,1,7.866587e+03
28,30,2,7.608347e+03
28,30,3,6.765254e+03
28,30,5,4.884192e+03
28,30,10,4.884192e+03
28,30,20,9.807060e+02
28,30,30,6.138668e+02
28,30,40,6.138668e+02
28,30,50,6.138668e+02
28,30,60,6.138668e+02
28,30,70,5.548250e+02
28,30,80,5.548250e+02
28,30,90,5.514670e+02
28,30,100,5.514670e+02
28,30,1,6.471189e+03
28,30,2,6.471189e+03
28,30,3,6.471189e+03
28,30,5,5.290139e+03
28,30,10,5.290139e+03
28,30,20,4.880010e+03
28,30,30,4.856936e+03
28,30,40,6.114314e+02
28,30,50,6.005834e+02
28,30,60,6.004113e+02
28,30,70,5.441698e+02
28,30,80,4.742885e+02
28,30,90,4.742885e+02
28,30,100,4.742885e+02
28,30,1,5.667203e+03
28,30,2,5.667203e+03
28,30,3,5.667203e+03
28,30,5,5.667203e+03
28,30,10,4.324744e+03
28,30,20,4.324744e+03
28,30,30,4.264982e+03
28,30,40,8.936799e+02
28,30,50,6.237170e+02
28,30,60,6.231343e+02
28,30,70,5.860801e+02
28,30,80,5.197347e+02
28,30,90,5.197347e+02
28,30,100,5.197347e+02
28,30,1,5.777447e+03
28,30,2,5.260067e+03
28,30,3,5.260067e+03
28,30,5,4.902484e+03
28,30,10,4.902484e+03
28,30,20,4.902484e+03
28,30,30,4.869583e+03
28,30,40,5.803484e+02
28,30,50,5.803484e+02
28,30,60,5.803484e+02
28,30,70,5.613566e+02
28,30,80,5.613566e+02
28,30,90,5.535494e+02
28,30,100,5.535494e+02
28,30,1,5.753591e+03
28,30,2,5.753591e+03
28,30,3,5.753591e+03
28,30,5,5.233952e+03
28,30,10,5.233952e+03
28,30,20,1.226291e+03
28,30,30,6.257045e+02
28,30,40,6.246452e+02
28,30,50,6.246452e+02
28,30,60,6.246452e+02
28,30,70,4.921664e+02
28,30,80,4.921664e+02
28,30,90,4.921664e+02
28,30,100,4.921664e+02
28,30,1,6.019025e+03
28,30,2,6.019025e+03
28,30,3,6.019025e+03
28,30,5,5.764664e+03
28,30,10,5.693157e+03
28,30,20,5.016068e+03
28,30,30,5.016068e+03
28,30,40,4.979903e+03
28,30,50,4.979903e+03
28,30,60,4.979903e+03
28,30,70,4.947055e+03
28,30,80,5.562691e+02
28,30,90,5.219768e+02
28,30,100,5.219768e+02
28,30,1,7.982345e+03
28,30,2,5.807427e+03
28,30,3,4.538653e+03
28,30,5,4.341693e+03
28,30,10,4.341693e+03
28,30,20,4.341693e+03
28,30,30,4.340920e+03
28,30,40,6.911401e+02
28,30,50,6.911276e+02
28,30,60,6.911276e+02
28,30,70,5.615940e+02
28,30,80,5.615940e+02
28,30,90,5.615940e+02
28,30,100,5.615940e+02
