funcid,dim,milestone,error
18,10,1,2.223730e+07
18,10,2,2.223730e+07
18,10,3,2.223730e+07
18,10,5,8.593469e+06
18,10,10,5.208960e+06
18,10,20,5.332051e+05
18,10,30,5.332051e+05
18,10,40,5.332051e+05
18,10,50,5.332051e+05
18,10,60,8.100506e+02
18,10,70,8.098286e+02
18,10,80,8.098286e+02
18,10,90,8.098286e+02
18,10,100,8.098286e+02
18,10,1,8.771478e+06
18,10,2,8.771478e+06
18,10,3,7.178561e+06
18,10,5,7.178561e+06
18,10,10,7.178561e+06
18,10,20,4.369975e+06
18,10,30,4.369975e+06
18,10,40,4.369975e+06
18,10,50,4.369975e+06
18,10,60,4.788652e+05
18,10,70,4.788652e+05
18,10,80,4.788652e+05
18,10,90,4.788652e+05
18,10,100,3.578533e+04
18,10,1,6.353252e+06
18,10,2,6.353252e+06
18,10,3,6.353252e+06
18,10,5,6.353252e+06
18,10,10,6.353252e+06
18,10,20,6.353252e+06
18,10,30,1.381291e+06
18,10,40,1.094528e+06
18,10,50,1.094528e+06
18,10,60,9.689334e+03
18,10,70,6.537285e+02
18,10,80,6.537285e+02
18,10,90,6.537285e+02
18,10,100,6.537285e+02
18,10,1,2.940253e+08
18,10,2,1.598833e+08
18,10,3,4.514188e+06
18,10,5,4.514188e+06
18,10,10,4.514188e+06
18,10,20,4.026007e+06
18,10,30,2.135853e+06
18,10,40,2.135853e+06
18,10,50,8.001987e+05
18,10,60,9.401387e+03
18,10,70,3.119779e+03
18,10,80,3.119779e+03
18,10,90,2.821004e+03
18,10,100,2.481715e+03
18,10,1,3.067194e+08
18,10,2,2.689767e+07
18,10,3,2.689767e+07
18,10,5,2.689767e+07
18,10,10,4.265587e+06
18,10,20,4.265587e+06
18,10,30,1.932986e+05
18,10,40,1.932986e+05
18,10,50,1.932986e+05
18,10,60,1.932986e+05
18,10,70,5.549340e+03
18,10,80,1.544969e+03
18,10,90,1.544969e+03
18,10,100,1.544969e+03
18,10,1,9.096254e+07
18,10,2,8.836302e+06
18,10,3,8.836302e+06
18,10,5,8.836302e+06
18,10,10,1.769535e+05
18,10,20,1.769535e+05
18,10,30,1.769535e+05
18,10,40,1.769535e+05
18,10,50,1.769535e+05
18,10,60,4.625847e+03
18,10,70,1.602070e+03
18,10,80,1.602070e+03
18,10,90,8.180422e+02
18,10,100,8.180422e+02
18,10,1,4.443987e+07
18,10,2,4.443987e+07
18,10,3,4.443987e+07
18,10,5,3.192869e+07
18,10,10,5.610024e+06
18,10,20,2.327301e+05
18,10,30,2.327301e+05
18,10,40,2.327301e+05
18,10,50,2.327301e+05
18,10,60,2.327301e+05
18,10,70,2.327301e+05
18,10,80,2.327301e+05
18,10,90,2.327301e+05
18,10,100,3.111118e+03
18,10,1,7.382802e+06
18,10,2,3.758301e+06
18,10,3,3.758301e+06
18,10,5,3.758301e+06
18,10,10,3.758301e+06
18,10,20,3.758301e+06
18,10,30,1.405398e+05
18,10,40,1.405398e+05
18,10,50,1.405398e+05
18,10,60,7.519094e+03
18,10,70,4.257522e+02
18,10,80,4.257522e+02
18,10,90,4.257522e+02
18,10,100,4.257522e+02
18,10,1,1.345016e+07
18,10,2,1.345016e+07
18,10,3,1.345016e+07
18,10,5,1.345016e+07
18,10,10,1.345016e+07
18,10,20,1.345016e+07
18,10,30,4.035606e+06
18,10,40,2.072049e+06
18,10,50,1.103497e+06
18,10,60,2.846325e+03
18,10,70,2.845384e+03
18,10,80,1.181273e+03
18,10,90,1.181273e+03
18,10,100,1.181273e+03
18,10,1,1.212747e+08
18,10,2,3.819464e+07
18,10,3,2.791157e+06
18,10,5,2.742068e+05
18,10,10,2.742068e+05
18,10,20,2.742068e+05
18,10,30,2.742068e+05
18,10,40,2.742068e+05
18,10,50,2.742068e+05
18,10,60,2.742068e+05
18,10,70,2.742068e+05
18,10,80,2.742068e+05
18,10,90,2.742068e+05
18,10,100,4.045063e+03
