funcid,dim,milestone,error
9,10,1,2.534132e+03
9,10,2,2.285886e+03
9,10,3,2.285886e+03
9,10,5,2.285886e+03
9,10,10,1.732968e+03
9,10,20,1.732968e+03
9,10,30,8.351985e+02
9,10,40,8.351985e+02
9,10,50,7.289369e+02
9,10,60,7.289369e+02
9,10,70,7.289369e+02
9,10,80,7.289369e+02
9,10,90,7.289369e+02
9,10,100,7.289369e+02
9,10,1,3.692531e+03
9,10,2,2.505204e+03
9,10,3,2.396377e+03
9,10,5,1.962709e+03
9,10,10,1.122096e+03
9,10,20,9.562375e+02
9,10,30,9.562375e+02
9,10,40,8.434127e+02
9,10,50,4.446011e+02
9,10,60,4.446011e+02
9,10,70,4.446011e+02
9,10,80,4.446011e+02
9,10,90,4.189959e+02
9,10,100,4.189959e+02
9,10,1,3.011919e+03
9,10,2,2.444209e+03
9,10,3,1.166033e+03
9,10,5,1.166033e+03
9,10,10,1.166033e+03
9,10,20,1.166033e+03
9,10,30,1.027864e+03
9,10,40,1.027864e+03
9,10,50,9.319478e+02
9,10,60,9.319478e+02
9,10,70,9.319478e+02
9,10,80,9.319478e+02
9,10,90,9.319478e+02
9,10,100,9.319478e+02
9,10,1,2.352456e+03
9,10,2,2.352456e+03
9,10,3,2.352456e+03
9,10,5,2.033216e+03
9,10,10,1.141988e+03
9,10,20,1.141988e+03
9,10,30,1.076429e+03
9,10,40,1.076429e+03
9,10,50,1.076429e+03
9,10,60,1.076429e+03
9,10,70,1.076429e+03
9,10,80,1.076429e+03
9,10,90,1.076429e+03
9,10,100,1.076429e+03
9,10,1,2.322746e+03
9,10,2,2.322746e+03
9,10,3,2.322746e+03
9,10,5,1.759750e+03
9,10,10,1.666901e+03
9,10,20,1.666901e+03
9,10,30,1.666901e+03
9,10,40,1.666901e+03
9,10,50,1.360120e+03
9,10,60,1.360120e+03
9,10,70,1.100868e+03
9,10,80,1.090031e+03
9,10,90,1.090031e+03
9,10,100,1.090031e+03
9,10,1,2.312076e+03
9,10,2,1.904188e+03
9,10,3,1.904188e+03
9,10,5,1.904188e+03
9,10,10,1.904188e+03
9,10,20,1.282229e+03
9,10,30,9.668574e+02
9,10,40,9.668574e+02
9,10,50,9.668574e+02
9,10,60,9.668574e+02
9,10,70,9.668574e+02
9,10,80,9.668574e+02
9,10,90,9.668574e+02
9,10,100,9.668574e+02
9,10,1,2.408568e+03
9,10,2,2.408568e+03
9,10,3,1.405414e+03
9,10,5,1.405414e+03
9,10,10,1.405414e+03
9,10,20,1.405414e+03
9,10,30,1.405414e+03
9,10,40,1.405414e+03
9,10,50,1.405414e+03
9,10,60,1.405414e+03
9,10,70,1.405414e+03
9,10,80,1.405414e+03
9,10,90,1.405414e+03
9,10,100,1.405414e+03
9,10,1,2.723089e+03
9,10,2,1.405553e+03
9,10,3,1.405553e+03
9,10,5,1.405553e+03
9,10,10,1.405553e+03
9,10,20,1.043336e+03
9,10,30,1.043336e+03
9,10,40,1.043336e+03
9,10,50,1.043336e+03
9,10,60,1.043336e+03
9,10,70,1.043336e+03
9,10,80,1.043336e+03
9,10,90,1.043336e+03
9,10,100,1.043336e+03
9,10,1,1.774320e+03
9,10,2,1.774320e+03
9,10,3,1.774320e+03
9,10,5,1.774320e+03
9,10,10,1.774320e+03
9,10,20,1.552266e+03
9,10,30,1.552266e+03
9,10,40,1.405401e+03
9,10,50,1.405401e+03
9,10,60,1.081074e+03
9,10,70,1.081074e+03
9,10,80,1.081074e+03
9,10,90,1.081074e+03
9,10,100,1.081074e+03
9,10,1,1.940287e+03
9,10,2,1.940287e+03
9,10,3,1.940287e+03
9,10,5,1.940287e+03
9,10,10,1.534022e+03
9,10,20,1.366942e+03
9,10,30,1.160672e+03
9,10,40,1.160672e+03
9,10,50,9.616594e+02
9,10,60,9.484189e+02
9,10,70,9.484189e+02
9,10,80,9.484189e+02
9,10,90,9.484189e+02
9,10,100,9.484189e+02
