funcid,dim,milestone,error
22,30,1,7.401130e+03
22,30,2,7.401130e+03
22,30,3,7.401130e+03
22,30,5,7.401130e+03
22,30,10,7.401130e+03
22,30,20,7.251175e+03
22,30,30,4.157565e+03
22,30,40,4.157565e+03
22,30,50,4.157565e+03
22,30,60,4.157565e+03
22,30,70,4.157565e+03
22,30,80,4.157565e+03
22,30,90,4.157565e+03
22,30,100,4.157565e+03
22,30,1,8.488876e+03
22,30,2,8.488876e+03
22,30,3,8.170757e+03
22,30,5,8.009843e+03
22,30,10,7.934849e+03
22,30,20,6.715408e+03
22,30,30,6.715408e+03
22,30,40,6.634112e+03
22,30,50,6.634112e+03
22,30,60,6.634112e+03
22,30,70,6.634112e+03
22,30,80,6.634112e+03
22,30,90,6.587610e+03
22,30,100,6.587610e+03
22,30,1,8.739834e+03
22,30,2,8.174517e+03
22,30,3,8.174517e+03
22,30,5,8.174517e+03
22,30,10,7.996550e+03
22,30,20,7.742313e+03
22,30,30,5.490732e+03
22,30,40,5.490732e+03
22,30,50,5.490732e+03
22,30,60,5.490732e+03
22,30,70,5.490732e+03
22,30,80,5.490732e+03
22,30,90,5.490732e+03
22,30,100,5.490732e+03
22,30,1,8.721545e+03
22,30,2,8.721545e+03
22,30,3,8.484565e+03
22,30,5,8.355527e+03
22,30,10,7.857971e+03
22,30,20,7.218408e+03
22,30,30,6.903213e+03
22,30,40,6.903213e+03
22,30,50,6.903213e+03
22,30,60,6.903213e+03
22,30,70,6.903213e+03
22,30,80,6.903213e+03
22,30,90,6.903213e+03
22,30,100,6.903213e+03
22,30,1,8.530451e+03
22,30,2,7.756198e+03
22,30,3,7.756198e+03
22,30,5,7.756198e+03
22,30,10,7.756198e+03
22,30,20,7.047338e+03
22,30,30,7.047338e+03
22,30,40,6.933897e+03
22,30,50,5.442627e+03
22,30,60,5.442627e+03
22,30,70,5.442627e+03
22,30,80,5.442627e+03
22,30,90,5.442627e+03
22,30,100,5.442627e+03
22,30,1,7.521748e+03
22,30,2,7.521748e+03
22,30,3,7.521748e+03
22,30,5,7.521748e+03
22,30,10,7.521748e+03
22,30,20,6.493244e+03
22,30,30,6.083674e+03
22,30,40,6.075374e+03
22,30,50,6.075374e+03
22,30,60,6.075374e+03
22,30,70,6.075374e+03
22,30,80,6.074669e+03
22,30,90,6.074669e+03
22,30,100,6.074669e+03
22,30,1,7.325132e+03
22,30,2,7.325132e+03
22,30,3,7.325132e+03
22,30,5,7.325132e+03
22,30,10,7.325132e+03
22,30,20,7.130886e+03
22,30,30,7.130886e+03
22,30,40,5.173522e+03
22,30,50,5.173522e+03
22,30,60,5.173522e+03
22,30,70,5.173522e+03
22,30,80,5.173522e+03
22,30,90,5.173522e+03
22,30,100,5.173522e+03
22,30,1,9.362784e+03
22,30,2,8.676764e+03
22,30,3,8.577811e+03
22,30,5,8.511399e+03
22,30,10,7.930927e+03
22,30,20,7.424233e+03
22,30,30,7.401044e+03
22,30,40,7.401044e+03
22,30,50,7.401044e+03
22,30,60,7.381376e+03
22,30,70,7.381376e+03
22,30,80,7.340745e+03
22,30,90,7.340745e+03
22,30,100,7.340745e+03
22,30,1,7.892138e+03
22,30,2,7.892138e+03
22,30,3,7.892138e+03
22,30,5,7.892138e+03
22,30,10,7.282400e+03
22,30,20,5.457473e+03
22,30,30,5.457473e+03
22,30,40,5.457473e+03
22,30,50,5.457473e+03
22,30,60,5.384046e+03
22,30,70,5.384046e+03
22,30,80,5.384046e+03
22,30,90,5.384046e+03
22,30,100,5.308126e+03
22,30,1,8.130983e+03
22,30,2,8.130983e+03
22,30,3,7.587680e+03
22,30,5,7.587680e+03
22,30,10,7.377927e+03
22,30,20,6.972927e+03
22,30,30,6.972927e+03
22,30,40,6.972927e+03
22,30,50,6.950445e+03
22,30,60,6.950445e+03
22,30,70,6.950445e+03
22,30,80,6.950445e+03
22,30,90,6.950445e+03
22,30,100,6.950445e+03
