funcid,dim,milestone,error
3,30,1,2.196818e+05
3,30,2,1.733529e+05
3,30,3,1.733529e+05
3,30,5,1.733529e+05
3,30,10,1.733529e+05
3,30,20,1.200436e+05
3,30,30,1.200436e+05
3,30,40,1.200436e+05
3,30,50,1.200436e+05
3,30,60,1.200436e+05
3,30,70,1.200436e+05
3,30,80,1.200436e+05
3,30,90,1.200436e+05
3,30,100,1.200436e+05
3,30,1,2.198113e+05
3,30,2,2.198113e+05
3,30,3,2.096857e+05
3,30,5,1.509360e+05
3,30,10,1.509360e+05
3,30,20,1.333561e+05
3,30,30,1.333561e+05
3,30,40,1.333561e+05
3,30,50,1.333561e+05
3,30,60,1.178822e+05
3,30,70,1.178822e+05
3,30,80,1.178822e+05
3,30,90,1.178822e+05
3,30,100,1.178481e+05
3,30,1,2.163788e+05
3,30,2,2.132386e+05
3,30,3,2.132386e+05
3,30,5,1.939021e+05
3,30,10,1.670491e+05
3,30,20,1.670491e+05
3,30,30,1.670491e+05
3,30,40,1.670491e+05
3,30,50,1.670491e+05
3,30,60,1.491063e+05
3,30,70,1.491063e+05
3,30,80,6.904575e+04
3,30,90,6.904575e+04
3,30,100,6.904575e+04
3,30,1,1.975679e+05
3,30,2,1.975679e+05
3,30,3,1.975679e+05
3,30,5,1.851427e+05
3,30,10,1.613628e+05
3,30,20,1.613628e+05
3,30,30,1.448551e+05
3,30,40,1.448551e+05
3,30,50,1.386184e+05
3,30,60,1.386184e+05
3,30,70,1.386184e+05
3,30,80,1.386184e+05
3,30,90,1.386184e+05
3,30,100,1.386184e+05
3,30,1,2.504643e+05
3,30,2,2.228768e+05
3,30,3,1.836149e+05
3,30,5,1.796774e+05
3,30,10,1.575881e+05
3,30,20,1.575881e+05
3,30,30,1.575881e+05
3,30,40,1.506517e+05
3,30,50,1.469873e+05
3,30,60,1.469873e+05
3,30,70,1.469873e+05
3,30,80,1.469873e+05
3,30,90,1.208934e+05
3,30,100,1.208934e+05
3,30,1,2.313577e+05
3,30,2,2.007207e+05
3,30,3,2.007207e+05
3,30,5,1.796126e+05
3,30,10,1.655983e+05
3,30,20,1.348633e+05
3,30,30,1.348633e+05
3,30,40,1.348633e+05
3,30,50,1.348633e+05
3,30,60,1.348633e+05
3,30,70,1.348633e+05
3,30,80,1.348633e+05
3,30,90,1.348633e+05
3,30,100,1.348633e+05
3,30,1,1.726562e+05
3,30,2,1.726562e+05
3,30,3,1.726562e+05
3,30,5,1.726562e+05
3,30,10,1.522215e+05
3,30,20,1.522215e+05
3,30,30,1.048719e+05
3,30,40,1.048719e+05
3,30,50,1.048719e+05
3,30,60,1.048719e+05
3,30,70,1.048719e+05
3,30,80,1.048719e+05
3,30,90,1.048719e+05
3,30,100,1.048719e+05
3,30,1,2.375992e+05
3,30,2,1.990453e+05
3,30,3,1.990453e+05
3,30,5,1.990453e+05
3,30,10,1.311123e+05
3,30,20,1.311123e+05
3,30,30,1.307166e+05
3,30,40,1.149096e+05
3,30,50,1.149096e+05
3,30,60,1.149096e+05
3,30,70,1.149096e+05
3,30,80,1.149096e+05
3,30,90,1.149096e+05
3,30,100,1.149096e+05
3,30,1,1.739295e+05
3,30,2,1.739295e+05
3,30,3,1.568319e+05
3,30,5,1.568319e+05
3,30,10,1.568319e+05
3,30,20,1.568319e+05
3,30,30,1.428579e+05
3,30,40,1.428579e+05
3,30,50,1.428579e+05
3,30,60,1.428579e+05
3,30,70,1.428579e+05
3,30,80,1.428579e+05
3,30,90,1.428579e+05
3,30,100,1.428579e+05
3,30,1,2.047680e+05
3,30,2,2.047680e+05
3,30,3,1.318218e+05
3,30,5,1.318218e+05
3,30,10,1.318218e+05
3,30,20,1.095888e+05
3,30,30,1.095888e+05
3,30,40,1.095888e+05
3,30,50,1.095888e+05
3,30,60,1.095888e+05
3,30,70,1.095888e+05
3,30,80,1.095888e+05
3,30,90,1.095888e+05
3,30,100,1.095888e+05
