funcid,dim,milestone,error
12,30,1,1.267734e+10
12,30,2,1.132058e+10
12,30,3,1.132058e+10
12,30,5,1.132058e+10
12,30,10,1.132058e+10
12,30,20,1.132058e+10
12,30,30,1.132058e+10
12,30,40,9.863351e+07
12,30,50,8.421081e+07
12,30,60,8.421081e+07
12,30,70,3.845573e+07
12,30,80,1.283278e+07
12,30,90,1.011688e+07
12,30,100,1.011688e+07
12,30,1,1.560783e+10
12,30,2,1.223429e+10
12,30,3,1.223429e+10
12,30,5,1.223429e+10
12,30,10,1.082069e+10
12,30,20,9.994128e+09
12,30,30,9.994128e+09
12,30,40,9.994128e+09
12,30,50,2.312780e+08
12,30,60,2.113695e+08
12,30,70,2.113695e+08
12,30,80,5.135558e+07
12,30,90,1.579097e+07
12,30,100,1.579097e+07
12,30,1,1.671505e+10
12,30,2,1.248556e+10
12,30,3,1.217103e+10
12,30,5,1.212111e+10
12,30,10,1.131207e+10
12,30,20,1.131207e+10
12,30,30,1.075721e+10
12,30,40,1.075721e+10
12,30,50,1.897059e+08
12,30,60,1.897059e+08
12,30,70,1.897059e+08
12,30,80,1.445561e+07
12,30,90,1.088330e+07
12,30,100,1.088330e+07
12,30,1,1.818804e+10
12,30,2,1.137307e+10
12,30,3,1.137307e+10
12,30,5,1.137307e+10
12,30,10,1.137307e+10
12,30,20,1.328643e+09
12,30,30,1.116897e+09
12,30,40,3.117642e+07
12,30,50,3.117642e+07
12,30,60,3.117642e+07
12,30,70,1.363836e+07
12,30,80,1.297431e+07
12,30,90,1.297431e+07
12,30,100,1.297431e+07
12,30,1,1.816330e+10
12,30,2,1.288367e+10
12,30,3,1.288367e+10
12,30,5,1.288367e+10
12,30,10,1.288367e+10
12,30,20,1.144645e+10
12,30,30,1.144645e+10
12,30,40,1.694987e+08
12,30,50,1.631666e+08
12,30,60,1.631666e+08
12,30,70,3.415534e+07
12,30,80,3.400538e+07
12,30,90,1.673873e+07
12,30,100,7.898197e+06
12,30,1,1.729070e+10
12,30,2,1.347828e+10
12,30,3,1.347828e+10
12,30,5,1.347828e+10
12,30,10,1.144688e+10
12,30,20,1.144688e+10
12,30,30,1.144688e+10
12,30,40,3.733366e+07
12,30,50,3.733366e+07
12,30,60,3.733366e+07
12,30,70,3.733366e+07
12,30,80,3.733366e+07
12,30,90,3.733366e+07
12,30,100,3.733366e+07
12,30,1,1.867424e+10
12,30,2,1.690998e+10
12,30,3,1.338860e+10
12,30,5,1.282327e+10
12,30,10,1.282327e+10
12,30,20,3.734143e+07
12,30,30,1.693808e+07
12,30,40,1.693808e+07
12,30,50,1.693808e+07
12,30,60,1.693808e+07
12,30,70,1.693808e+07
12,30,80,1.693808e+07
12,30,90,1.059828e+07
12,30,100,1.059828e+07
12,30,1,1.945440e+10
12,30,2,9.711942e+09
12,30,3,9.711942e+09
12,30,5,9.711942e+09
12,30,10,9.711942e+09
12,30,20,3.694549e+08
12,30,30,6.286140e+07
12,30,40,6.125518e+07
12,30,50,6.125518e+07
12,30,60,6.125518e+07
12,30,70,4.511566e+06
12,30,80,4.511566e+06
12,30,90,4.511566e+06
12,30,100,4.511566e+06
12,30,1,1.407521e+10
12,30,2,1.407521e+10
12,30,3,1.407521e+10
12,30,5,1.318265e+10
12,30,10,1.222361e+10
12,30,20,1.061375e+09
12,30,30,3.925078e+08
12,30,40,3.925078e+08
12,30,50,1.971403e+08
12,30,60,1.971403e+08
12,30,70,3.032114e+07
12,30,80,3.032114e+07
12,30,90,3.032114e+07
12,30,100,2.151422e+07
12,30,1,1.826814e+10
12,30,2,1.826814e+10
12,30,3,1.770839e+10
12,30,5,1.239039e+10
12,30,10,1.159423e+10
12,30,20,1.159423e+10
12,30,30,1.159423e+10
12,30,40,1.823474e+08
12,30,50,1.823474e+08
12,30,60,1.823474e+08
12,30,70,1.823474e+08
12,30,80,7.145866e+07
12,30,90,3.680131e+06
12,30,100,3.680131e+06
