funcid,dim,milestone,error
27,30,1,1.722962e+03
27,30,2,1.722962e+03
27,30,3,1.522026e+03
27,30,5,1.522026e+03
27,30,10,1.522026e+03
27,30,20,1.331581e+03
27,30,30,1.331581e+03
27,30,40,1.331581e+03
27,30,50,1.331581e+03
27,30,60,1.331581e+03
27,30,70,1.331581e+03
27,30,80,1.331581e+03
27,30,90,1.331581e+03
27,30,100,1.331581e+03
27,30,1,2.175772e+03
27,30,2,1.829227e+03
27,30,3,1.788260e+03
27,30,5,1.632991e+03
27,30,10,1.632991e+03
27,30,20,1.564840e+03
27,30,30,1.564840e+03
27,30,40,1.556052e+03
27,30,50,1.534712e+03
27,30,60,1.534712e+03
27,30,70,1.282127e+03
27,30,80,1.282127e+03
27,30,90,1.135131e+03
27,30,100,1.126201e+03
27,30,1,1.673792e+03
27,30,2,1.673792e+03
27,30,3,1.563095e+03
27,30,5,1.563095e+03
27,30,10,1.563095e+03
27,30,20,1.153058e+03
27,30,30,1.152048e+03
27,30,40,1.152048e+03
27,30,50,1.140512e+03
27,30,60,1.140512e+03
27,30,70,1.140512e+03
27,30,80,8.087835e+02
27,30,90,8.087835e+02
27,30,100,8.087835e+02
27,30,1,1.737598e+03
27,30,2,1.737598e+03
27,30,3,1.737598e+03
27,30,5,1.737598e+03
27,30,10,1.538338e+03
27,30,20,1.441168e+03
27,30,30,1.391706e+03
27,30,40,1.391706e+03
27,30,50,1.391706e+03
27,30,60,1.391706e+03
27,30,70,1.236579e+03
27,30,80,1.236579e+03
27,30,90,1.236579e+03
27,30,100,1.236579e+03
27,30,1,1.209410e+03
27,30,2,1.209410e+03
27,30,3,1.209410e+03
27,30,5,1.209410e+03
27,30,10,1.209410e+03
27,30,20,1.209410e+03
27,30,30,1.209410e+03
27,30,40,1.182836e+03
27,30,50,1.182836e+03
27,30,60,1.182836e+03
27,30,70,9.872328e+02
27,30,80,9.872328e+02
27,30,90,9.872328e+02
27,30,100,9.872328e+02
27,30,1,1.857916e+03
27,30,2,1.834457e+03
27,30,3,1.834457e+03
27,30,5,1.438314e+03
27,30,10,1.438314e+03
27,30,20,1.438314e+03
27,30,30,1.415284e+03
27,30,40,1.415284e+03
27,30,50,1.415284e+03
27,30,60,1.415284e+03
27,30,70,1.415284e+03
27,30,80,1.415284e+03
27,30,90,1.139082e+03
27,30,100,1.139082e+03
27,30,1,2.180333e+03
27,30,2,1.451096e+03
27,30,3,1.451096e+03
27,30,5,1.451096e+03
27,30,10,1.451096e+03
27,30,20,1.264844e+03
27,30,30,1.264844e+03
27,30,40,1.264844e+03
27,30,50,1.264844e+03
27,30,60,1.262487e+03
27,30,70,1.148978e+03
27,30,80,1.148978e+03
27,30,90,1.064665e+03
27,30,100,1.062757e+03
27,30,1,1.556045e+03
27,30,2,1.556045e+03
27,30,3,1.319980e+03
27,30,5,1.319980e+03
27,30,10,1.319980e+03
27,30,20,1.319980e+03
27,30,30,1.319980e+03
27,30,40,1.282694e+03
27,30,50,1.255668e+03
27,30,60,1.255668e+03
27,30,70,8.580671e+02
27,30,80,7.103745e+02
27,30,90,7.088949e+02
27,30,100,7.088949e+02
27,30,1,1.971975e+03
27,30,2,1.971975e+03
27,30,3,1.971975e+03
27,30,5,1.800642e+03
27,30,10,1.686398e+03
27,30,20,1.355930e+03
27,30,30,1.355930e+03
27,30,40,1.355930e+03
27,30,50,1.355930e+03
27,30,60,1.355930e+03
27,30,70,1.355930e+03
27,30,80,1.355930e+03
27,30,90,1.015377e+03
27,30,100,1.015377e+03
27,30,1,1.741996e+03
27,30,2,1.741996e+03
27,30,3,1.741996e+03
27,30,5,1.518776e+03
27,30,10,1.334552e+03
27,30,20,1.329547e+03
27,30,30,1.320252e+03
27,30,40,1.320252e+03
27,30,50,1.320252e+03
27,30,60,8.671946e+02
27,30,70,8.608282e+02
27,30,80,8.608282e+02
27,30,90,8.608282e+02
27,30,100,8.608282e+02
